"","business_id","word_count","stars","sentiment"
"1","Zja7ykq3icDzkN20XX6j1w",28,5,0.170084012854152
"2","cTPdZ9Va0HCLESf5gNnXwA",16,4,0
"3","cTPdZ9Va0HCLESf5gNnXwA",11,4,0
"4","cTPdZ9Va0HCLESf5gNnXwA",22,5,0.0852802865422442
"5","NN6HpdvQlGZUVjBwzhgUWQ",22,2,-0.21320071635561
"6","NN6HpdvQlGZUVjBwzhgUWQ",33,3,0.0174077655955698
"7","NN6HpdvQlGZUVjBwzhgUWQ",12,3,0
"8","NN6HpdvQlGZUVjBwzhgUWQ",2,3,0
"9","NN6HpdvQlGZUVjBwzhgUWQ",17,2,0
"10","NN6HpdvQlGZUVjBwzhgUWQ",22,2,0.223860752173391
"11","NN6HpdvQlGZUVjBwzhgUWQ",27,2,0.269430125621825
"12","NN6HpdvQlGZUVjBwzhgUWQ",11,5,0.271360210119987
"13","fiRbomFAAtfTYOTTtnDUcA",6,4,0
"14","nsw3tlB-hwz4KbPYcuaSww",24,5,0.163299316185545
"15","Q9jOi1245KEyb-vehMUeFA",18,4,0
"16","Q9jOi1245KEyb-vehMUeFA",19,1,-0.0802955068546966
"17","UgWVMUWFrr6bt3NSfuKrGQ",5,2,-0.335410196624968
"18","UgWVMUWFrr6bt3NSfuKrGQ",27,2,0.0577350269189626
"19","TQqhfjlPVEz41K_wAogQSQ",19,4,0.344123600805843
"20","sYf2auhosrx8trbyP9nGyw",17,5,0
"21","sYf2auhosrx8trbyP9nGyw",18,5,0.235702260395516
"22","JTKzGJvIK9yuoUf-erV2qQ",7,4,0
"23","lop2cMZ8mml0PqY1epavbA",7,2,0
"24","uE6hI5_i4QVq12xU99xtqA",9,4,0.0333333333333333
"25","uE6hI5_i4QVq12xU99xtqA",9,5,-0.133333333333333
"26","7LzhLKAwS7PHUvaPIW833A",18,3,0.306412938514171
"27","7-OCdlOQQCHAqYDI_elK6Q",24,1,0.347011046894284
"28","7-OCdlOQQCHAqYDI_elK6Q",30,1,-0.502079011046402
"29","JZ4ZRdRSllhuAt94tFCH8w",59,2,0.032547227745206
"30","j9Z3c0OVhpv8ZDntMBEsiQ",5,5,0.335410196624968
"31","j9Z3c0OVhpv8ZDntMBEsiQ",27,1,0.0962250448649376
"32","QNn3lvwCBwNcQFPbjAtgdQ",13,2,0
"33","00J65e-ewht6GZ9fXZdP1w",27,1,0.0769800358919501
"34","LSyR_fhLdQkSBDIv64REuA",16,5,0.25
"35","NnOAwa0A2tNPnZl9IHVLPQ",11,2,0.105528970602217
"36","1-b05KzlioUXxSbl53gcNg",14,4,-0.173719807243076
"37","7cQaxDXTxNu_SywNDsTS5w",13,1,-0.38829013735766
"38","mSWNf1muSy9wgGtMRgt7Fg",19,5,-0.137649440322337
"39","mLP-jIIRdoaYM7fJqqFurw",18,5,0
"40","qqop0eM9UQcI8uRRIWOOKQ",28,5,0.0944911182523068
"41","_d69ooWJ_7AXYQRvVNSjmQ",5,2,-0.447213595499958
"42","ZL6BK8wweb-8ncJ7kFIG-A",14,4,-0.120267558860591
"43","djW8gh3JJ-__NCxx1YQaHg",18,5,0.518544972870135
"44","kWW_EvMdS87-sXadKsqtXQ",22,3,-0.20254068053783
"45","kWW_EvMdS87-sXadKsqtXQ",34,4,0.0857492925712544
"46","gWsWtppVufrGfGWw1HcjOA",28,4,0.0944911182523068
"47","SoOBdulYAm7p6LdFJdbINg",46,5,0.0368604890387243
"48","8LtLZER8PiJsD8itophWgA",36,1,0
"49","_qoXWEB5qb0Me1CCMLWlmg",13,4,0.438213155017931
"50","OAsYaD7nLC2kDuqO4uaoIQ",21,5,-0.0545544725589981
"51","OAsYaD7nLC2kDuqO4uaoIQ",28,4,0.0472455591261534
"52","OAsYaD7nLC2kDuqO4uaoIQ",36,5,0.166666666666667
"53","Eg_M8eeu9SDEdbP7iUmVbQ",27,4,0.144337567297406
"54","Eg_M8eeu9SDEdbP7iUmVbQ",76,4,0.395742140926719
"55","Eg_M8eeu9SDEdbP7iUmVbQ",26,1,0.0784464540552736
"56","Eg_M8eeu9SDEdbP7iUmVbQ",41,1,0
"57","Eg_M8eeu9SDEdbP7iUmVbQ",18,1,0.14142135623731
"58","Eg_M8eeu9SDEdbP7iUmVbQ",16,4,0.4
"59","Eg_M8eeu9SDEdbP7iUmVbQ",22,4,0.298481002897855
"60","rZXfYxaXTFxALpbjv7i9Eg",28,4,0.460644201479996
"61","uvPv-iPbOtp0Zhgzwn0A3w",29,4,0.324966841809841
"62","8UPbuIL9jVSWkGvC47b2Zw",21,4,0.109108945117996
"63","hUCujBvgttk5jNh_uQwi2Q",12,5,0.259807621135332
"64","u8C8pRvaHXg3PgDrsUHJHQ",13,4,-0.277350098112615
"65","u8C8pRvaHXg3PgDrsUHJHQ",19,4,0.229415733870562
"66","kd4PwIjtWK2Lx0wUcovo5A",24,1,0.0306186217847897
"67","kd4PwIjtWK2Lx0wUcovo5A",26,1,0.147087101353638
"68","kd4PwIjtWK2Lx0wUcovo5A",31,1,0.224506627533469
"69","kd4PwIjtWK2Lx0wUcovo5A",14,1,0
"70","MWYJl-bIxhtQ-4Kg3ENUxA",17,1,-0.18190171877725
"71","72s7cTvPgI_meydNhX-JMA",15,3,0.129099444873581
"72","72s7cTvPgI_meydNhX-JMA",24,1,0.408248290463863
"73","haGstZfcH0IeRPncH2oFPQ",28,5,0.349617137533535
"74","41LcUz0kXaYHiMf8rUS_aQ",9,5,0
