"","business_id","word_count","stars","sentiment"
"1","J9f-9Prw2YVM-fiZqv2fmQ",23,3,0
"2","J9f-9Prw2YVM-fiZqv2fmQ",15,3,0.361478445646026
"3","J9f-9Prw2YVM-fiZqv2fmQ",10,3,0.411096095821889
"4","J9f-9Prw2YVM-fiZqv2fmQ",18,5,0
"5","J9f-9Prw2YVM-fiZqv2fmQ",27,1,0.269430125621825
"6","J9f-9Prw2YVM-fiZqv2fmQ",113,4,-0.160863268493595
"7","J9f-9Prw2YVM-fiZqv2fmQ",22,4,0.21320071635561
"8","J9f-9Prw2YVM-fiZqv2fmQ",20,2,-0.0503115294937453
"9","J9f-9Prw2YVM-fiZqv2fmQ",21,3,0.174574312188794
"10","J9f-9Prw2YVM-fiZqv2fmQ",20,2,-0.223606797749979
"11","J9f-9Prw2YVM-fiZqv2fmQ",4,3,0
"12","J9f-9Prw2YVM-fiZqv2fmQ",17,5,0.194028500029066
"13","J9f-9Prw2YVM-fiZqv2fmQ",20,3,0.380131556174964
"14","J9f-9Prw2YVM-fiZqv2fmQ",22,3,0.458381540164562
"15","J9f-9Prw2YVM-fiZqv2fmQ",16,3,0.1
"16","lpel3pRFAzlow7u2TJMz4Q",13,4,0.596302710942121
"17","lpel3pRFAzlow7u2TJMz4Q",18,4,0.494974746830583
"18","Zja7ykq3icDzkN20XX6j1w",24,5,0.663403472003777
"19","Zja7ykq3icDzkN20XX6j1w",26,5,0.843299381094191
"20","Zja7ykq3icDzkN20XX6j1w",11,4,0.391964747951093
"21","Zja7ykq3icDzkN20XX6j1w",12,4,-0.0721687836487032
"22","Zja7ykq3icDzkN20XX6j1w",6,4,0
"23","Zja7ykq3icDzkN20XX6j1w",17,5,0.666972968849916
"24","Zja7ykq3icDzkN20XX6j1w",29,4,0.362105909445251
"25","Zja7ykq3icDzkN20XX6j1w",30,4,0.465564173879391
"26","hr0vxeTzlHx6fTpSSmu2AA",13,5,0.637905225659013
"27","hr0vxeTzlHx6fTpSSmu2AA",20,4,0.0894427190999916
"28","hr0vxeTzlHx6fTpSSmu2AA",27,3,0.394522683946244
"29","F4kjKxXXyn3e-BYVb1mWcg",12,5,0.44744645862196
"30","F4kjKxXXyn3e-BYVb1mWcg",20,5,0.290688837074973
"31","7xHbnGo4MXFkBm6gYSu_xg",14,4,0.227172055625561
"32","7xHbnGo4MXFkBm6gYSu_xg",18,4,0.188561808316413
"33","eU_713ec6fTGNO4BegRaww",9,4,0.45
"34","eU_713ec6fTGNO4BegRaww",35,5,0.481737925195254
"35","eU_713ec6fTGNO4BegRaww",13,5,0.0693375245281536
"36","eU_713ec6fTGNO4BegRaww",44,4,0.376889180722205
"37","epWC7CGRbNHkXM7G2ulYzQ",47,5,0.691035397221275
"38","epWC7CGRbNHkXM7G2ulYzQ",28,2,0.188982236504614
"39","x1Cd2gSPZVeNxDPzzqlClQ",12,5,0.44744645862196
"40","cTPdZ9Va0HCLESf5gNnXwA",16,4,-0.0625
"41","cTPdZ9Va0HCLESf5gNnXwA",13,3,0.0610170215847752
"42","cTPdZ9Va0HCLESf5gNnXwA",18,3,0
"43","cTPdZ9Va0HCLESf5gNnXwA",30,5,0.109544511501033
"44","cTPdZ9Va0HCLESf5gNnXwA",16,4,0.2
"45","cTPdZ9Va0HCLESf5gNnXwA",17,4,0.24271752675511
"46","cTPdZ9Va0HCLESf5gNnXwA",21,5,0.796495299361372
"47","NN6HpdvQlGZUVjBwzhgUWQ",9,2,-0.35
"48","NN6HpdvQlGZUVjBwzhgUWQ",24,4,0.153093108923949
"49","NN6HpdvQlGZUVjBwzhgUWQ",18,2,0.332340187157677
"50","NN6HpdvQlGZUVjBwzhgUWQ",15,5,0.193649167310371
"51","NN6HpdvQlGZUVjBwzhgUWQ",13,3,-0.0693375245281536
"52","NN6HpdvQlGZUVjBwzhgUWQ",26,1,0.441261304060914
"53","NN6HpdvQlGZUVjBwzhgUWQ",18,4,0.247487373415292
"54","NN6HpdvQlGZUVjBwzhgUWQ",19,3,0.183532587096449
"55","YgHp9MdZ1vVdYyMEro4TtQ",12,5,-0.21650635094611
"56","YgHp9MdZ1vVdYyMEro4TtQ",26,1,-0.294174202707276
"57","YgHp9MdZ1vVdYyMEro4TtQ",18,4,0.235702260395516
"58","YgHp9MdZ1vVdYyMEro4TtQ",15,4,0.59385744641847
"59","YgHp9MdZ1vVdYyMEro4TtQ",13,5,0.208012573584461
"60","YgHp9MdZ1vVdYyMEro4TtQ",41,5,0.312347523777212
"61","YgHp9MdZ1vVdYyMEro4TtQ",12,5,0.21650635094611
"62","YgHp9MdZ1vVdYyMEro4TtQ",28,4,0.340168025708305
"63","Ev142kLmV_ASI9iAl-KfKA",15,4,0.658407168855261
"64","Ev142kLmV_ASI9iAl-KfKA",28,3,0.198431348329844
"65","eigkQ_PuRON8Se265NqQDQ",16,4,0.25
"66","eigkQ_PuRON8Se265NqQDQ",24,5,0.683815886526971
"67","CqCWN9aBJf8YNJxyel7psg",38,2,0.162221421130763
"68","CqCWN9aBJf8YNJxyel7psg",22,4,0.0533001790889026
"69","CqCWN9aBJf8YNJxyel7psg",9,2,0
"70","CqCWN9aBJf8YNJxyel7psg",14,2,0.33407655239053
"71","CqCWN9aBJf8YNJxyel7psg",23,2,-0.25021729686849
"72","tstXUpIFZQ9xYejjGQrDwg",14,2,0
"73","mJ24zWo_FdE3_9v24sqFiw",14,3,0.200445931434318
"74","bftSQN9eaE5EQBe3ZztN8Q",25,4,0.6
"75","bftSQN9eaE5EQBe3ZztN8Q",10,5,0.553398590529466
"76","fiRbomFAAtfTYOTTtnDUcA",21,2,0.501901147542782
"77","fiRbomFAAtfTYOTTtnDUcA",40,5,0.0473551079610215
"78","fiRbomFAAtfTYOTTtnDUcA",18,5,0.601040764008565
"79","fiRbomFAAtfTYOTTtnDUcA",14,4,0.173719807243076
"80","fiRbomFAAtfTYOTTtnDUcA",9,5,0.266666666666667
"81","fiRbomFAAtfTYOTTtnDUcA",26,5,0.24514516892273
"82","fiRbomFAAtfTYOTTtnDUcA",33,4,0.130558241966773
"83","fiRbomFAAtfTYOTTtnDUcA",22,1,0.117260393995586
"84","fiRbomFAAtfTYOTTtnDUcA",23,3,0.156385810542806
"85","fiRbomFAAtfTYOTTtnDUcA",24,3,0.316392425109494
"86","fiRbomFAAtfTYOTTtnDUcA",16,4,-0.071875
"87","fiRbomFAAtfTYOTTtnDUcA",18,1,0.117851130197758
"88","fiRbomFAAtfTYOTTtnDUcA",10,5,0.284604989415154
"89","fiRbomFAAtfTYOTTtnDUcA",6,5,0.306186217847897
"90","fiRbomFAAtfTYOTTtnDUcA",29,2,0
"91","r2BP0Irh63hqYUDSZd0ijQ",11,5,0.241209075662211
"92","r2BP0Irh63hqYUDSZd0ijQ",14,5,0.200445931434318
"93","r2BP0Irh63hqYUDSZd0ijQ",15,5,0.103279555898864
"94","r2BP0Irh63hqYUDSZd0ijQ",30,1,-0.273861278752583
"95","r2BP0Irh63hqYUDSZd0ijQ",13,2,0.221880078490092
"96","r2BP0Irh63hqYUDSZd0ijQ",11,4,0.241209075662211
"97","JdQNxOiUFt0r2NN__rKnOw",20,5,0.73790243257493
"98","u2w7rfwl06rzHU7RcRkr9w",18,3,0
"99","nsw3tlB-hwz4KbPYcuaSww",22,5,0.479701611800123
"100","nsw3tlB-hwz4KbPYcuaSww",16,5,0.1875
"101","nsw3tlB-hwz4KbPYcuaSww",10,5,0.727323861838727
"102","nsw3tlB-hwz4KbPYcuaSww",30,4,0.069378190617321
"103","nsw3tlB-hwz4KbPYcuaSww",9,4,0.266666666666667
"104","nsw3tlB-hwz4KbPYcuaSww",30,5,-0.419920627420627
"105","qZZ8VU1Bk-xCruEAZNwm6A",17,4,0.193846598310289
"106","CiNZmBtZRaRSXKjwun4R4A",7,5,0.28347335475692
"107","CiNZmBtZRaRSXKjwun4R4A",71,4,0.593390829096927
"108","Uda-CqNfow8Gh4rgtdhJZg",13,4,0.624037720753383
"109","Uda-CqNfow8Gh4rgtdhJZg",4,5,1.275
"110","1YC7AbQMlNb5mLUlwwaa3w",57,4,0.694054955102083
"111","1YC7AbQMlNb5mLUlwwaa3w",15,3,0.129099444873581
"112","1YC7AbQMlNb5mLUlwwaa3w",17,2,0
"113","GEpIV65f4afQHlL-yxC3wA",25,3,0.1
"114","BpJDI4Fj92lLNALQQeLvLg",10,4,0.553398590529466
"115","BpJDI4Fj92lLNALQQeLvLg",8,5,0.282842712474619
"116","BpJDI4Fj92lLNALQQeLvLg",14,3,0.240535117721182
"117","IWDA6Tp8aFIaIqJJnZF0oA",54,1,-0.496702086731033
"118","oRKyGtUsN5IcRReN7ScUwQ",10,4,0.25298221281347
"119","oRKyGtUsN5IcRReN7ScUwQ",10,5,0.474341649025257
"120","oRKyGtUsN5IcRReN7ScUwQ",10,5,0.363661930919364
"121","oRKyGtUsN5IcRReN7ScUwQ",37,3,-0.0213718683496965
"122","Q9jOi1245KEyb-vehMUeFA",12,1,0.0924915131241781
"123","Q9jOi1245KEyb-vehMUeFA",20,2,-0.0670820393249937
"124","Q9jOi1245KEyb-vehMUeFA",13,4,0.110940039245046
"125","Q9jOi1245KEyb-vehMUeFA",22,2,0.159900537266708
"126","Q9jOi1245KEyb-vehMUeFA",20,4,0.167705098312484
"127","Q9jOi1245KEyb-vehMUeFA",10,4,0.363661930919364
"128","Q9jOi1245KEyb-vehMUeFA",12,4,0.21650635094611
"129","Q9jOi1245KEyb-vehMUeFA",6,1,0.204124145231932
"130","Q9jOi1245KEyb-vehMUeFA",17,5,0.485071250072666
"131","TEXUVhF-G_v2Sxwqti8HQA",14,3,0.267261241912424
"132","TEXUVhF-G_v2Sxwqti8HQA",13,3,0.0970725343394151
"133","TEXUVhF-G_v2Sxwqti8HQA",92,1,0.260825467683643
"134","TEXUVhF-G_v2Sxwqti8HQA",92,2,0.260825467683643
"135","TEXUVhF-G_v2Sxwqti8HQA",17,4,0.606339062590832
"136","crBw_Hq3gCkppirgjnIl4A",18,5,0.176776695296637
"137","TQqhfjlPVEz41K_wAogQSQ",12,3,0.505181485540923
"138","TQqhfjlPVEz41K_wAogQSQ",22,4,0.21320071635561
"139","TQqhfjlPVEz41K_wAogQSQ",25,3,0.26
"140","TQqhfjlPVEz41K_wAogQSQ",24,3,-0.112268279877562
"141","TQqhfjlPVEz41K_wAogQSQ",21,4,0.174574312188794
"142","TQqhfjlPVEz41K_wAogQSQ",22,4,0
"143","TQqhfjlPVEz41K_wAogQSQ",19,4,0.527656187902292
"144","_Kp1IPTi17wBywYOd30raA",20,1,0.223606797749979
"145","sYf2auhosrx8trbyP9nGyw",29,3,0.124415876578625
"146","sYf2auhosrx8trbyP9nGyw",18,1,0.0235702260395516
"147","sYf2auhosrx8trbyP9nGyw",24,5,0.0306186217847897
"148","A4aU9qMO4yxv4q3dqHZjmw",21,5,0.611010092660779
"149","2v3uI97JPebCDaTNy8jdwg",18,4,-0.235702260395516
"150","ZPAnqqAKLjg9uCN6Rk1lfg",16,5,0.2
"151","ZPAnqqAKLjg9uCN6Rk1lfg",9,2,-0.166666666666667
"152","ZPAnqqAKLjg9uCN6Rk1lfg",26,5,0.0784464540552736
"153","JTKzGJvIK9yuoUf-erV2qQ",27,4,0.331832067216737
"154","JTKzGJvIK9yuoUf-erV2qQ",16,4,0.1375
"155","JTKzGJvIK9yuoUf-erV2qQ",17,5,0.679099750101732
"156","JTKzGJvIK9yuoUf-erV2qQ",41,2,-0.195217202360758
"157","JTKzGJvIK9yuoUf-erV2qQ",15,5,0.193649167310371
"158","JTKzGJvIK9yuoUf-erV2qQ",30,1,0.136930639376292
"159","JTKzGJvIK9yuoUf-erV2qQ",12,5,0.331976404784035
"160","JTKzGJvIK9yuoUf-erV2qQ",16,3,-0.031375
"161","0y6alZmSLnPzmG5_kP5Quw",19,5,0.229415733870562
"162","0y6alZmSLnPzmG5_kP5Quw",16,5,0.6375
"163","lop2cMZ8mml0PqY1epavbA",27,3,-0.103923048454133
"164","oPvYovnl06fy5W0e51zjMQ",20,4,0.313049516849971
"165","oPvYovnl06fy5W0e51zjMQ",19,2,-0.217944947177034
"166","oPvYovnl06fy5W0e51zjMQ",16,3,-0.28
"167","oPvYovnl06fy5W0e51zjMQ",42,4,0.509201054874903
"168","oPvYovnl06fy5W0e51zjMQ",66,4,0.036896674421055
"169","oPvYovnl06fy5W0e51zjMQ",17,4,0.363803437554499
"170","Y3RWEmu4ykuc2LvG3Qv9Ew",28,2,0.188982236504614
"171","stD-LTFFwlmBdzU-0aBntw",19,4,0.29824045403173
"172","uE6hI5_i4QVq12xU99xtqA",10,5,0.237170824512628
"173","uE6hI5_i4QVq12xU99xtqA",12,5,0.433012701892219
"174","uE6hI5_i4QVq12xU99xtqA",12,4,0.44744645862196
"175","uE6hI5_i4QVq12xU99xtqA",10,1,0
"176","uE6hI5_i4QVq12xU99xtqA",16,5,0.2
"177","LpKloJ5DFU1rjEENALnGZg",21,4,0.338237729865788
"178","CnmhEiSGkIgUdFGN-rpaHw",32,3,0
"179","CnmhEiSGkIgUdFGN-rpaHw",33,3,-0.324219634217487
"180","CnmhEiSGkIgUdFGN-rpaHw",13,4,0.832050294337844
"181","CnmhEiSGkIgUdFGN-rpaHw",11,5,0.226133508433323
"182","z_RTK0MaxaRHRQ99hDL2QA",16,3,0
"183","z_RTK0MaxaRHRQ99hDL2QA",17,3,0.194028500029066
"184","z_RTK0MaxaRHRQ99hDL2QA",17,5,0
"185","z_RTK0MaxaRHRQ99hDL2QA",30,5,0.182574185835055
"186","z_RTK0MaxaRHRQ99hDL2QA",24,5,0.734846922834954
"187","z_RTK0MaxaRHRQ99hDL2QA",19,5,0.940604508869303
"188","z_RTK0MaxaRHRQ99hDL2QA",16,4,0.4875
"189","z_RTK0MaxaRHRQ99hDL2QA",22,5,0.117260393995586
"190","z_RTK0MaxaRHRQ99hDL2QA",50,5,0.700035713374682
"191","z_RTK0MaxaRHRQ99hDL2QA",28,4,-0.27402424293169
"192","z_RTK0MaxaRHRQ99hDL2QA",26,5,0.460872917574733
"193","z_RTK0MaxaRHRQ99hDL2QA",17,4,0.206155281280883
"194","z_RTK0MaxaRHRQ99hDL2QA",14,4,0.250557414292898
"195","z_RTK0MaxaRHRQ99hDL2QA",16,5,0.45
"196","z_RTK0MaxaRHRQ99hDL2QA",9,5,0.25
"197","czBupdPk4qbW5wlMOEOcWQ",15,4,0.258198889747161
"198","czBupdPk4qbW5wlMOEOcWQ",23,5,0.938314863256837
"199","7LzhLKAwS7PHUvaPIW833A",33,4,-0.217597069944622
"200","38aN0fB_zHtkw1kb3lSj8g",14,5,0.133630620956212
"201","38aN0fB_zHtkw1kb3lSj8g",17,4,0.521451593828116
"202","38aN0fB_zHtkw1kb3lSj8g",20,5,0
"203","38aN0fB_zHtkw1kb3lSj8g",20,5,0.111803398874989
"204","38aN0fB_zHtkw1kb3lSj8g",14,4,0.507796359633606
"205","38aN0fB_zHtkw1kb3lSj8g",10,5,0.237170824512628
"206","7-OCdlOQQCHAqYDI_elK6Q",15,2,0
"207","7-OCdlOQQCHAqYDI_elK6Q",8,5,0.282842712474619
"208","JZ4ZRdRSllhuAt94tFCH8w",16,5,0.6375
"209","JZ4ZRdRSllhuAt94tFCH8w",25,5,0.33
"210","JZ4ZRdRSllhuAt94tFCH8w",23,5,0.156385810542806
"211","JZ4ZRdRSllhuAt94tFCH8w",9,2,0
"212","BMR_AsSBzTQHqW-SQabI4w",15,1,0
"213","BMR_AsSBzTQHqW-SQabI4w",19,5,0.206474160483506
"214","j9Z3c0OVhpv8ZDntMBEsiQ",15,1,-0.516397779494322
"215","j9Z3c0OVhpv8ZDntMBEsiQ",12,1,0.115470053837925
"216","QNn3lvwCBwNcQFPbjAtgdQ",11,5,0.0603022689155527
"217","a3hjBPsnpcTpcquQXLeS0w",8,3,1.20208152801713
"218","a3hjBPsnpcTpcquQXLeS0w",10,5,0.25298221281347
"219","ijNQXC2cBhbkf6iB6D8OJw",6,4,0.612372435695795
"220","ijNQXC2cBhbkf6iB6D8OJw",32,2,0.397747564417433
"221","TwYdL1qY7FFBl1BqCo-CJw",7,5,0.661437827766148
"222","BeVO7CR25FBOCJoOIJiQvw",19,2,0.137649440322337
"223","BeVO7CR25FBOCJoOIJiQvw",34,3,0.0685994340570035
"224","WEs9MN1M6tixwEz844jCUw",26,1,-0.00980580675690921
"225","WEs9MN1M6tixwEz844jCUw",18,2,0
"226","WEs9MN1M6tixwEz844jCUw",16,1,-0.0625
"227","00J65e-ewht6GZ9fXZdP1w",22,4,0.298481002897855
"228","00J65e-ewht6GZ9fXZdP1w",14,4,0.681516166876682
"229","jW4-bGuymLGlB9OBsTq3TA",24,1,0.0510310363079829
"230","jW4-bGuymLGlB9OBsTq3TA",10,4,0.237170824512628
"231","jW4-bGuymLGlB9OBsTq3TA",12,1,0.23094010767585
"232","jW4-bGuymLGlB9OBsTq3TA",19,1,0.585010121369932
"233","jW4-bGuymLGlB9OBsTq3TA",21,5,0.338237729865788
"234","P4uQXhzxjKFBtnqfx_O4tA",36,2,0.183333333333333
"235","h8MMgum-XUQhU4xWCyQWLQ",16,3,0
"236","h8MMgum-XUQhU4xWCyQWLQ",11,4,0.226133508433323
"237","NnOAwa0A2tNPnZl9IHVLPQ",44,5,0.474880367709978
"238","NnOAwa0A2tNPnZl9IHVLPQ",14,4,0.199911408950493
"239","NnOAwa0A2tNPnZl9IHVLPQ",18,3,0.188561808316413
"240","1-b05KzlioUXxSbl53gcNg",11,5,0.452267016866645
"241","QeCkX3JI0dZiC6UK4tWl6A",11,4,0.452267016866645
"242","yfJcj4qwewXp_QJ7L5WMfw",28,5,0.425210032135381
"243","HO3K5PGB5-v8fXzBADRKQg",7,5,0.661437827766148
"244","dAa0hB2yrnHzVmsCkN4YvQ",23,2,0.135534369137099
"245","7cQaxDXTxNu_SywNDsTS5w",18,1,0.353553390593274
"246","7cQaxDXTxNu_SywNDsTS5w",6,1,0.204124145231932
"247","7cQaxDXTxNu_SywNDsTS5w",14,1,-0.0668153104781061
"248","mSWNf1muSy9wgGtMRgt7Fg",14,2,0.133630620956212
"249","mSWNf1muSy9wgGtMRgt7Fg",28,2,0
"250","a3ZqjElMgAe924sbXZVcvA",15,5,0.193649167310371
"251","a3ZqjElMgAe924sbXZVcvA",13,5,0.208012573584461
"252","j4Ms51MtI4arORwaICNfCw",9,4,0.266666666666667
"253","j4Ms51MtI4arORwaICNfCw",18,1,0.58925565098879
"254","j4Ms51MtI4arORwaICNfCw",14,4,0.668153104781061
"255","j4Ms51MtI4arORwaICNfCw",20,5,0.570197334262446
"256","1EcTLweQoXJPjC-ETL_8fw",16,4,0.6875
"257","JexI9opGP2n_Xv6IKnN0Bg",25,1,0
"258","JexI9opGP2n_Xv6IKnN0Bg",15,1,-0.193584617587934
"259","Tz4fdGixKO3_HvOh8i81Iw",27,1,-0.336787657027282
"260","Y4vnA8okdRLoFOKSTWVd2g",10,2,0.395284707521047
"261","goMccfETQlUOb9_USl4BUg",24,5,0.102062072615966
"262","uLUjru9JVkI_qmFHCxYwAQ",24,4,0.867527617235709
"263","Zp2vJfHciG9IiXfmtH5Wdw",31,4,0.14368424162142
"264","Zp2vJfHciG9IiXfmtH5Wdw",16,5,0.225
"265","Zp2vJfHciG9IiXfmtH5Wdw",10,4,0.284604989415154
"266","Zp2vJfHciG9IiXfmtH5Wdw",13,1,0.277350098112615
"267","FQF7F9U-_TCNIwtsOlbV1A",12,4,0.909182336406363
"268","mLP-jIIRdoaYM7fJqqFurw",11,4,0.452267016866645
"269","mLP-jIIRdoaYM7fJqqFurw",24,4,0.0510310363079829
"270","kDu6EvknXAygJf1KSfwhUA",18,4,-0.0117851130197758
"271","kDu6EvknXAygJf1KSfwhUA",20,3,0.313049516849971
"272","4NkEWTs76FplOihc-qyBZQ",21,3,0.272772362794991
"273","4NkEWTs76FplOihc-qyBZQ",15,5,0.4002082791081
"274","OsgTFouPbcrCDnt-byTdAw",12,4,0.21650635094611
"275","qUZvcHJ6YDNHVmPLe02mYg",9,4,0.25
"276","LTPcaw-_IqOfTSDxe8811A",18,4,0.176776695296637
"277","MkzaB1merlsrz92EMGQQkw",19,1,0.195003373789977
"278","tFuWPheGlUElFlWUTLSUjA",14,5,0.33407655239053
"279","ZL6BK8wweb-8ncJ7kFIG-A",16,5,0.25
"280","wA0g8Mgbb8JiJcw3CftI2A",25,4,0.1
"281","P_PCpidHJQksW2-ufqoz4w",24,4,0.438866912248653
"282","P_PCpidHJQksW2-ufqoz4w",16,3,0.359375
"283","GqH0U0E3Te5pUUjyiIzNBQ",6,5,0.734846922834954
"284","djW8gh3JJ-__NCxx1YQaHg",19,5,0.412948320967011
"285","djW8gh3JJ-__NCxx1YQaHg",38,5,0.316331771204987
"286","djW8gh3JJ-__NCxx1YQaHg",11,5,0.693476092528856
"287","k4Vhhh4h4cNCQmnxWiy79Q",14,4,-0.250557414292898
"288","H5vlbkJ_8mFI1wCGHO3apg",15,4,0.322748612183951
"289","aMQ9eniSKkEkL0id93Y9cw",19,5,0.286769667338202
"290","EJGv2la6CcZmEIpkE4hzyg",17,3,0.0971961517333104
"291","53-Y3Jw20QV6TeDkRjSyJQ",14,4,0.467707173346743
"292","lqwx4u_BFK8bgd91O-L1hg",11,2,0
"293","hV9XufCpXMn2eOHzKZshHQ",29,5,0.241403939630167
"294","isao1F5FW5kvQl402UlJ3g",24,4,0.300062493490939
"295","isao1F5FW5kvQl402UlJ3g",8,4,0.459619407771256
"296","4Vig7oCo9P-j2OnPUfaXCA",29,1,-0.519946946895745
"297","cPNolx5Ae2znDZNA7GG5BQ",20,5,0.122983738762488
"298","LBcCkRqkqJGthuqLE0t7zw",23,1,-0.118853216012533
"299","gWsWtppVufrGfGWw1HcjOA",29,4,0.427099277807219
"300","P7Vk5j_XzWl-9kS5qZd9aQ",12,2,0.21650635094611
"301","P7Vk5j_XzWl-9kS5qZd9aQ",30,5,0.419920627420627
"302","SoOBdulYAm7p6LdFJdbINg",11,5,-0.301511344577764
"303","qqRk3eH2JLZBUz2jDwIseA",13,1,-0.0693375245281536
"304","qqRk3eH2JLZBUz2jDwIseA",14,1,-0.307350428199288
"305","qqRk3eH2JLZBUz2jDwIseA",37,5,0.302411937148205
"306","277ETKOLg1XreTWL8hGlHw",18,5,0.200346921336188
"307","277ETKOLg1XreTWL8hGlHw",7,5,0.28347335475692
"308","277ETKOLg1XreTWL8hGlHw",14,5,-0.200445931434318
"309","277ETKOLg1XreTWL8hGlHw",17,4,0.25466240628815
"310","277ETKOLg1XreTWL8hGlHw",13,5,0.208012573584461
"311","_qoXWEB5qb0Me1CCMLWlmg",14,3,-0.427617987059879
"312","_qoXWEB5qb0Me1CCMLWlmg",22,3,-0.383761289440099
"313","_qoXWEB5qb0Me1CCMLWlmg",14,4,0.668153104781061
"314","5m_xSthxwPoR-XvJvtTeNQ",8,4,0.530330085889911
"315","OAsYaD7nLC2kDuqO4uaoIQ",22,5,0.383761289440099
"316","OAsYaD7nLC2kDuqO4uaoIQ",10,5,0.25298221281347
"317","OAsYaD7nLC2kDuqO4uaoIQ",28,5,0.406311808484919
"318","OAsYaD7nLC2kDuqO4uaoIQ",11,5,0.226133508433323
"319","tKWoQENTGxhYCJSbY4ZLsQ",6,5,0.408248290463863
"320","tKWoQENTGxhYCJSbY4ZLsQ",25,3,0.35
"321","YrFYBMWnRWkRpy9XyMfMRw",18,1,0
"322","YrFYBMWnRWkRpy9XyMfMRw",9,1,-0.0833333333333333
"323","Eg_M8eeu9SDEdbP7iUmVbQ",14,5,0.267261241912424
"324","Eg_M8eeu9SDEdbP7iUmVbQ",25,3,-0.28
"325","Eg_M8eeu9SDEdbP7iUmVbQ",12,2,0
"326","Eg_M8eeu9SDEdbP7iUmVbQ",15,1,-0.0645497224367903
"327","Eg_M8eeu9SDEdbP7iUmVbQ",19,3,0.0917662935482247
"328","Eg_M8eeu9SDEdbP7iUmVbQ",4,3,0
"329","Eg_M8eeu9SDEdbP7iUmVbQ",22,1,-0.0533001790889026
"330","Eg_M8eeu9SDEdbP7iUmVbQ",36,3,-0.0416666666666667
"331","Eg_M8eeu9SDEdbP7iUmVbQ",10,3,0.569209978830308
"332","Eg_M8eeu9SDEdbP7iUmVbQ",17,4,0.278915968791783
"333","Eg_M8eeu9SDEdbP7iUmVbQ",15,2,0.211723089592672
"334","Eg_M8eeu9SDEdbP7iUmVbQ",34,2,0.0171498585142509
"335","Eg_M8eeu9SDEdbP7iUmVbQ",16,4,0.1875
"336","Eg_M8eeu9SDEdbP7iUmVbQ",32,5,0.592201929243733
"337","Eg_M8eeu9SDEdbP7iUmVbQ",18,3,0.176776695296637
"338","Eg_M8eeu9SDEdbP7iUmVbQ",15,3,-0.0903696114115064
"339","Eg_M8eeu9SDEdbP7iUmVbQ",25,5,-0.05
"340","Eg_M8eeu9SDEdbP7iUmVbQ",18,5,-0.058925565098879
"341","Eg_M8eeu9SDEdbP7iUmVbQ",13,3,0.208012573584461
"342","Eg_M8eeu9SDEdbP7iUmVbQ",24,4,0.163299316185545
"343","Eg_M8eeu9SDEdbP7iUmVbQ",9,4,0.183333333333333
"344","Eg_M8eeu9SDEdbP7iUmVbQ",17,4,0.2182820625327
"345","Eg_M8eeu9SDEdbP7iUmVbQ",14,4,0.200445931434318
"346","Eg_M8eeu9SDEdbP7iUmVbQ",14,3,0.133630620956212
"347","Eg_M8eeu9SDEdbP7iUmVbQ",19,5,0.286769667338202
"348","w4a6TuFWArSc29dB51rPNA",28,3,-0.0944911182523068
"349","w4a6TuFWArSc29dB51rPNA",12,5,0.476313972081441
"350","w4a6TuFWArSc29dB51rPNA",10,3,0.521775813927783
"351","w4a6TuFWArSc29dB51rPNA",18,4,0.565685424949238
"352","w4a6TuFWArSc29dB51rPNA",26,4,0.605508567239143
"353","w4a6TuFWArSc29dB51rPNA",8,5,0.282842712474619
"354","w4a6TuFWArSc29dB51rPNA",24,4,0.153093108923949
"355","w4a6TuFWArSc29dB51rPNA",13,4,0.221880078490092
"356","w4a6TuFWArSc29dB51rPNA",19,3,0
"357","w4a6TuFWArSc29dB51rPNA",20,4,0.458393935387457
"358","w4a6TuFWArSc29dB51rPNA",8,5,0.282842712474619
"359","w4a6TuFWArSc29dB51rPNA",26,4,0.61776582568528
"360","w4a6TuFWArSc29dB51rPNA",9,3,0.2
"361","rZXfYxaXTFxALpbjv7i9Eg",38,3,0.0324442842261525
"362","rZXfYxaXTFxALpbjv7i9Eg",16,4,-0.5625
"363","rZXfYxaXTFxALpbjv7i9Eg",21,5,0.534415613187945
"364","zUE7mWTE5Ee8adPD1eWbUg",16,5,0.425
