"","business_id","word_count","stars","sentiment"
"1","lpel3pRFAzlow7u2TJMz4Q",26,4,0.330945978045686
"2","Zja7ykq3icDzkN20XX6j1w",9,1,0
"3","Zja7ykq3icDzkN20XX6j1w",26,1,0.098058067569092
"4","Zja7ykq3icDzkN20XX6j1w",10,5,0.624549837883255
"5","ZWq8Fq13JPDAqt7rPjSwcQ",18,3,0.329983164553722
"6","cTPdZ9Va0HCLESf5gNnXwA",51,2,0.203152634590784
"7","cTPdZ9Va0HCLESf5gNnXwA",12,2,0.288675134594813
"8","cTPdZ9Va0HCLESf5gNnXwA",5,2,-0.469574275274956
"9","cTPdZ9Va0HCLESf5gNnXwA",16,5,0
"10","cTPdZ9Va0HCLESf5gNnXwA",15,4,-0.516397779494322
"11","cTPdZ9Va0HCLESf5gNnXwA",15,4,-0.193649167310371
"12","NN6HpdvQlGZUVjBwzhgUWQ",11,4,0
"13","NN6HpdvQlGZUVjBwzhgUWQ",45,5,0.199382727993731
"14","CqCWN9aBJf8YNJxyel7psg",36,3,0.366666666666667
"15","CqCWN9aBJf8YNJxyel7psg",9,4,0
"16","CqCWN9aBJf8YNJxyel7psg",22,4,0.0852802865422442
"17","CqCWN9aBJf8YNJxyel7psg",5,5,0
"18","CqCWN9aBJf8YNJxyel7psg",9,5,-0.25
"19","CqCWN9aBJf8YNJxyel7psg",16,4,0.1875
"20","CqCWN9aBJf8YNJxyel7psg",8,3,0
"21","fiRbomFAAtfTYOTTtnDUcA",11,4,0
"22","fiRbomFAAtfTYOTTtnDUcA",15,4,0.129099444873581
"23","fiRbomFAAtfTYOTTtnDUcA",9,4,0
"24","fiRbomFAAtfTYOTTtnDUcA",10,4,0
"25","fiRbomFAAtfTYOTTtnDUcA",11,5,0.226133508433323
"26","CiNZmBtZRaRSXKjwun4R4A",14,5,0.200445931434318
"27","CiNZmBtZRaRSXKjwun4R4A",13,3,0
"28","CiNZmBtZRaRSXKjwun4R4A",32,3,0.0883883476483184
"29","Uda-CqNfow8Gh4rgtdhJZg",6,5,0.571547606649408
"30","Uda-CqNfow8Gh4rgtdhJZg",13,4,0.318952612829507
"31","jyFoxS8MofdpkAAK6A2LVQ",15,4,0
"32","sbm0jmhWui8YrvFgxnJ4kQ",15,2,0
"33","crBw_Hq3gCkppirgjnIl4A",20,5,0.0559016994374947
"34","crBw_Hq3gCkppirgjnIl4A",16,5,0.0625
"35","TQqhfjlPVEz41K_wAogQSQ",28,2,0.0188982236504614
"36","JTKzGJvIK9yuoUf-erV2qQ",24,3,-0.0103082693342126
"37","oPvYovnl06fy5W0e51zjMQ",15,4,0
"38","oPvYovnl06fy5W0e51zjMQ",22,3,0.40508136107566
"39","7-OCdlOQQCHAqYDI_elK6Q",17,5,0.18190171877725
"40","7-OCdlOQQCHAqYDI_elK6Q",9,2,0.133333333333333
"41","BMR_AsSBzTQHqW-SQabI4w",64,4,0.29375
"42","BMR_AsSBzTQHqW-SQabI4w",24,4,0.102062072615966
"43","ijNQXC2cBhbkf6iB6D8OJw",10,5,0
"44","TwYdL1qY7FFBl1BqCo-CJw",58,4,0.0722185380728474
"45","1EcTLweQoXJPjC-ETL_8fw",11,3,0
"46","PBSnhhjJ9X2uMRgx4QhTcw",31,4,0.107763181216065
"47","JexI9opGP2n_Xv6IKnN0Bg",14,1,0.160356745147455
"48","tUeYSmiIQn0WG9LN-qRLKg",8,4,0
"49","Tz4fdGixKO3_HvOh8i81Iw",9,4,0.3
"50","2uOUtyXYDr47V1Ka-ia0Ag",35,4,-0.0979111204102986
"51","mLP-jIIRdoaYM7fJqqFurw",9,5,0.133333333333333
"52","HjdEgAATE1UgqfxG_0clDQ",12,5,-0.144337567297406
"53","HjdEgAATE1UgqfxG_0clDQ",19,5,0.165179328386804
"54","T9uRUpoontO6YX-GoM4UvA",4,3,0.5
"55","hmCYLvuZSlITrQrdbHBiyw",30,4,0.301247406627841
"56","hmCYLvuZSlITrQrdbHBiyw",18,4,0.058925565098879
"57","Eg_M8eeu9SDEdbP7iUmVbQ",28,2,0.217329571980306
"58","Eg_M8eeu9SDEdbP7iUmVbQ",19,5,0.367065174192899
