"","business_id","word_count","stars","sentiment"
"1","J9f-9Prw2YVM-fiZqv2fmQ",23,3,0
"2","J9f-9Prw2YVM-fiZqv2fmQ",113,4,-0.160863268493595
"3","J9f-9Prw2YVM-fiZqv2fmQ",16,1,0.1
"4","lpel3pRFAzlow7u2TJMz4Q",48,1,0.194747462676026
"5","cTPdZ9Va0HCLESf5gNnXwA",25,2,0.15
"6","lop2cMZ8mml0PqY1epavbA",20,3,0.179053143298296
"7","MIMnDoaFcJlGuwiV-Z6hHw",36,5,0.295933333333333
"8","djW8gh3JJ-__NCxx1YQaHg",12,3,0.23094010767585
"9","WFM2FE0THduTbnjgGdGDLQ",10,1,0.316227766016838
"10","4MyZEzAuoh8oXPzCEhw_FA",10,4,0.316227766016838
"11","Eg_M8eeu9SDEdbP7iUmVbQ",48,5,0.187638837486628
"12","Eg_M8eeu9SDEdbP7iUmVbQ",25,3,0.15
"13","w4a6TuFWArSc29dB51rPNA",17,3,0
"14","u8C8pRvaHXg3PgDrsUHJHQ",10,3,0.454577413649205
"15","xoA1_vsxC0xD_fPgDZ2mbg",7,1,-0.226778683805536
"16","xoA1_vsxC0xD_fPgDZ2mbg",26,2,-0.049029033784546
"17","jz4jg_OTw32IMr_sXFwj9Q",27,1,0.327165152540788
"18","CipRVpM7YzsE-9U9wf2YNQ",27,1,-0.192498202252308
"19","GH_GGx54q-U_NZ_A3znakg",12,5,0
"20","2X3gsHAStlvhAQDOvOxEoQ",9,1,-0.366666666666667
"21","USOUJ8IyZlBo7uF-2Spy-g",16,5,0.0625
"22","btRo30YqzXeTbgxk6gnLMw",19,2,0.114707866935281
"23","pqsNkM5pgbio1x-2HQoefw",21,1,-0.368242689773237
"24","pqsNkM5pgbio1x-2HQoefw",25,1,-0.3375
"25","pqsNkM5pgbio1x-2HQoefw",9,1,0.4
"26","pqsNkM5pgbio1x-2HQoefw",15,2,-0.193649167310371
"27","vF58mwG-9Bx67S6hxKZ68A",7,1,0
"28","B5hl4fV8ZmwN2bLDgdr0Fw",19,5,0.435889894354067
"29","XjAb0mxgCtq96pWWJjUBAg",11,3,0.603022689155527
"30","XjAb0mxgCtq96pWWJjUBAg",36,1,-0.15
"31","x96SxIclNKmAgTEjQbkhxg",16,1,-0.0625
"32","M-qtsg3fVoG6sWBrDz4-6w",19,5,-0.0642364054837573
"33","_yKeTKNvXaBduAkRIS84Aw",13,5,-0.554700196225229
"34","s_CFR6l-ecfGZ3tw16PJDQ",22,3,0.21320071635561
"35","rwKSKNRKXVERaltnjVltEA",17,4,0.0606339062590832
"36","yBia51pdmhCmZdnwLa-uUg",12,5,0.21650635094611
"37","G4EBHnNSTWsnqTzxdiv5VQ",28,1,-0.24331462949969
"38","RMEzxhYfpnEsWlfozit_xw",19,5,0.229415733870562
"39","EWJbWp3oOwDsv4Lo5eZWxw",15,5,0.658407168855261
"40","ix-CkoFcqTX7hi62ZqGXJQ",17,4,0.194028500029066
"41","4A6AY0B0cSnymANGehmOGw",30,5,0.0912870929175277
"42","g-AanVPrK8PEFC8322A4xw",25,2,-0.27
"43","mpu9vXwm57D3IKuLn13zjA",2,2,0
"44","0qsarzXaZau8REdE0rToxA",7,5,0.226778683805536
"45","Xra1TtWtf069Am5hHWs3Ug",45,5,0.149071198499986
"46","soIfkcfwujR-Na1lprr-XA",54,1,0.381031737766272
"47","X4QbkHl7pOTVsgLa7XuUBg",17,5,0
"48","CymM3BP68hGigBK_5ap58A",20,4,0.223606797749979
"49","IOxRbnv2YnLtErYY3TrU3A",45,1,0.335410196624968
"50","9xjAQ9VlK6e46xy_iLzXqg",16,5,0.125
"51","A9rIqoqp5OO_56w82PiHEA",10,4,-0.237170824512628
"52","-LiVt5oFhC-AA4nCH77DjQ",10,5,0.25298221281347
"53","KqZRO_ZdCQ40fGrMsUow7Q",89,1,-0.461099077802767
"54","C37hwsGUHn_3-il0ypeY-Q",11,4,0
"55","bHO7WE9WgMT9USSr7ZI9JQ",17,3,-0.18190171877725
"56","3NSeHqI4QrXx8Smw2j662w",9,5,-0.2
"57","oP0eUhf44jU71-I8DwKU5A",14,4,0.133630620956212
"58","yhT2iTPtvQttZxYS9cNF0A",12,3,0
