"","business_id","word_count","stars","sentiment"
"1","Zja7ykq3icDzkN20XX6j1w",14,4,0
"2","hr0vxeTzlHx6fTpSSmu2AA",24,4,0.102062072615966
"3","hr0vxeTzlHx6fTpSSmu2AA",30,4,-0.0182574185835055
"4","qYiVyZrgbzxcBxuUgfPyHg",5,4,0
"5","ZWq8Fq13JPDAqt7rPjSwcQ",6,3,0
"6","ZWq8Fq13JPDAqt7rPjSwcQ",22,5,-0.234520787991171
"7","cTPdZ9Va0HCLESf5gNnXwA",9,3,-0.2
"8","NN6HpdvQlGZUVjBwzhgUWQ",18,5,0.117851130197758
"9","NN6HpdvQlGZUVjBwzhgUWQ",16,4,0
"10","NN6HpdvQlGZUVjBwzhgUWQ",21,5,-0.0709208143266975
"11","NN6HpdvQlGZUVjBwzhgUWQ",17,2,-0.242535625036333
"12","NN6HpdvQlGZUVjBwzhgUWQ",28,4,0.170084012854152
"13","NN6HpdvQlGZUVjBwzhgUWQ",12,5,0.288675134594813
"14","NN6HpdvQlGZUVjBwzhgUWQ",18,4,0.0824957911384305
"15","NN6HpdvQlGZUVjBwzhgUWQ",22,4,0.021320071635561
"16","NN6HpdvQlGZUVjBwzhgUWQ",14,4,0.146993683051833
"17","NN6HpdvQlGZUVjBwzhgUWQ",17,4,0.18190171877725
"18","NN6HpdvQlGZUVjBwzhgUWQ",13,5,0.312018860376691
"19","NN6HpdvQlGZUVjBwzhgUWQ",15,4,0
"20","NN6HpdvQlGZUVjBwzhgUWQ",24,4,0.322516149466452
"21","NN6HpdvQlGZUVjBwzhgUWQ",9,4,0.166666666666667
"22","NN6HpdvQlGZUVjBwzhgUWQ",16,3,-0.25
"23","NN6HpdvQlGZUVjBwzhgUWQ",6,4,0
"24","NN6HpdvQlGZUVjBwzhgUWQ",7,4,0.377964473009227
"25","NN6HpdvQlGZUVjBwzhgUWQ",32,4,-0.0441941738241592
"26","NN6HpdvQlGZUVjBwzhgUWQ",10,5,0.237170824512628
"27","NN6HpdvQlGZUVjBwzhgUWQ",18,2,0.176776695296637
"28","NN6HpdvQlGZUVjBwzhgUWQ",17,4,-0.1455213750218
"29","NN6HpdvQlGZUVjBwzhgUWQ",21,2,0
"30","NN6HpdvQlGZUVjBwzhgUWQ",24,5,0.336804839632687
"31","NN6HpdvQlGZUVjBwzhgUWQ",32,5,0.475529310347953
"32","NN6HpdvQlGZUVjBwzhgUWQ",17,4,0.121267812518166
"33","NN6HpdvQlGZUVjBwzhgUWQ",6,4,0
"34","NN6HpdvQlGZUVjBwzhgUWQ",9,4,0
"35","NN6HpdvQlGZUVjBwzhgUWQ",27,3,0.0962250448649376
"36","NN6HpdvQlGZUVjBwzhgUWQ",3,2,0
"37","NN6HpdvQlGZUVjBwzhgUWQ",4,2,-0.3
"38","NN6HpdvQlGZUVjBwzhgUWQ",6,2,0.204124145231932
"39","NN6HpdvQlGZUVjBwzhgUWQ",32,4,-0.0441941738241592
"40","NN6HpdvQlGZUVjBwzhgUWQ",6,4,-0.204124145231932
