"","business_id","word_count","stars","sentiment"
"1","hr0vxeTzlHx6fTpSSmu2AA",11,4,0.452267016866645
"2","7xHbnGo4MXFkBm6gYSu_xg",5,4,0
"3","7xHbnGo4MXFkBm6gYSu_xg",21,4,-0.109108945117996
"4","7xHbnGo4MXFkBm6gYSu_xg",25,4,0
"5","eU_713ec6fTGNO4BegRaww",41,4,-0.129624222367543
"6","eU_713ec6fTGNO4BegRaww",22,2,0.21320071635561
"7","eU_713ec6fTGNO4BegRaww",31,4,-0.0449013255066937
"8","cTPdZ9Va0HCLESf5gNnXwA",18,4,0.117851130197758
"9","NN6HpdvQlGZUVjBwzhgUWQ",9,5,0
"10","NN6HpdvQlGZUVjBwzhgUWQ",15,3,0.0645497224367903
"11","NN6HpdvQlGZUVjBwzhgUWQ",20,4,0.290688837074973
"12","NN6HpdvQlGZUVjBwzhgUWQ",13,4,0.110940039245046
"13","NN6HpdvQlGZUVjBwzhgUWQ",7,2,0
"14","YgHp9MdZ1vVdYyMEro4TtQ",6,4,0
"15","YgHp9MdZ1vVdYyMEro4TtQ",16,4,-0.0625
"16","YgHp9MdZ1vVdYyMEro4TtQ",5,5,0
"17","YgHp9MdZ1vVdYyMEro4TtQ",34,4,0.420171533599147
"18","YgHp9MdZ1vVdYyMEro4TtQ",12,4,0
"19","YgHp9MdZ1vVdYyMEro4TtQ",13,2,0
"20","YgHp9MdZ1vVdYyMEro4TtQ",25,2,0.08
"21","YgHp9MdZ1vVdYyMEro4TtQ",18,2,0
"22","YgHp9MdZ1vVdYyMEro4TtQ",25,2,-0.08
"23","YgHp9MdZ1vVdYyMEro4TtQ",27,2,-0.288675134594813
"24","YgHp9MdZ1vVdYyMEro4TtQ",13,3,0.208012573584461
"25","YgHp9MdZ1vVdYyMEro4TtQ",2,4,0
"26","YgHp9MdZ1vVdYyMEro4TtQ",18,3,-0.058925565098879
"27","YgHp9MdZ1vVdYyMEro4TtQ",27,3,0.173205080756888
"28","YgHp9MdZ1vVdYyMEro4TtQ",9,4,0
"29","YgHp9MdZ1vVdYyMEro4TtQ",27,4,0.0962250448649376
"30","YgHp9MdZ1vVdYyMEro4TtQ",5,5,0.335410196624968
"31","YgHp9MdZ1vVdYyMEro4TtQ",12,4,0.433012701892219
"32","YgHp9MdZ1vVdYyMEro4TtQ",8,5,0.318198051533946
"33","YgHp9MdZ1vVdYyMEro4TtQ",9,2,-0.48
"34","YgHp9MdZ1vVdYyMEro4TtQ",34,3,0.233666822256668
"35","YgHp9MdZ1vVdYyMEro4TtQ",17,5,0.194028500029066
"36","YgHp9MdZ1vVdYyMEro4TtQ",24,5,-0.0204124145231931
"37","YgHp9MdZ1vVdYyMEro4TtQ",16,5,0.2875
"38","YgHp9MdZ1vVdYyMEro4TtQ",10,5,-0.284604989415154
"39","YgHp9MdZ1vVdYyMEro4TtQ",14,5,0
"40","wuyJfCF5gWyz9yrFMaGczQ",26,4,0.294174202707276
"41","wuyJfCF5gWyz9yrFMaGczQ",22,4,-0.0533001790889026
"42","wuyJfCF5gWyz9yrFMaGczQ",26,3,0.294174202707276
"43","CqCWN9aBJf8YNJxyel7psg",26,5,0.353009043248731
"44","CqCWN9aBJf8YNJxyel7psg",22,4,0
"45","fiRbomFAAtfTYOTTtnDUcA",8,2,0.353553390593274
"46","fiRbomFAAtfTYOTTtnDUcA",8,4,0
"47","fiRbomFAAtfTYOTTtnDUcA",18,4,0
"48","fiRbomFAAtfTYOTTtnDUcA",92,4,0.510860314439833
"49","fiRbomFAAtfTYOTTtnDUcA",13,5,-0.0416025147168922
"50","fiRbomFAAtfTYOTTtnDUcA",13,4,0
"51","fiRbomFAAtfTYOTTtnDUcA",6,1,0
"52","r2BP0Irh63hqYUDSZd0ijQ",15,5,-0.516397779494322
"53","1YC7AbQMlNb5mLUlwwaa3w",36,4,0.633333333333333
"54","sbm0jmhWui8YrvFgxnJ4kQ",19,4,0.344123600805843
"55","sbm0jmhWui8YrvFgxnJ4kQ",11,4,0.509041603050638
"56","sbm0jmhWui8YrvFgxnJ4kQ",44,3,0.0753778361444409
"57","Q9jOi1245KEyb-vehMUeFA",19,4,-0.0573539334676404
"58","Q9jOi1245KEyb-vehMUeFA",8,5,0
"59","TEXUVhF-G_v2Sxwqti8HQA",18,2,0
"60","sYf2auhosrx8trbyP9nGyw",37,4,0.0410997468263393
"61","lop2cMZ8mml0PqY1epavbA",19,3,0
"62","lop2cMZ8mml0PqY1epavbA",16,3,0.125
"63","lop2cMZ8mml0PqY1epavbA",16,1,0
"64","lop2cMZ8mml0PqY1epavbA",29,1,-0.0928476690885259
"65","stD-LTFFwlmBdzU-0aBntw",19,4,0.286769667338202
"66","uE6hI5_i4QVq12xU99xtqA",38,5,0.0811107105653813
"67","uE6hI5_i4QVq12xU99xtqA",31,4,0.547796171181663
"68","czBupdPk4qbW5wlMOEOcWQ",9,2,0
"69","JZ4ZRdRSllhuAt94tFCH8w",11,2,0
"70","JZ4ZRdRSllhuAt94tFCH8w",35,2,-0.0845154254728517
"71","JZ4ZRdRSllhuAt94tFCH8w",28,2,-0.340168025708305
"72","JZ4ZRdRSllhuAt94tFCH8w",13,2,0.277350098112615
"73","JZ4ZRdRSllhuAt94tFCH8w",20,2,0
"74","JZ4ZRdRSllhuAt94tFCH8w",10,3,0
"75","9fH0ow907crGLmPnHFeI0A",8,4,0
"76","j9Z3c0OVhpv8ZDntMBEsiQ",8,5,0.441941738241592
"77","ijNQXC2cBhbkf6iB6D8OJw",6,1,-0.408248290463863
"78","h8MMgum-XUQhU4xWCyQWLQ",13,5,0
"79","1-b05KzlioUXxSbl53gcNg",16,5,0.3125
"80","a3ZqjElMgAe924sbXZVcvA",14,5,0.908688222502243
"81","1EcTLweQoXJPjC-ETL_8fw",22,1,0.21320071635561
"82","1EcTLweQoXJPjC-ETL_8fw",8,1,0
"83","tUeYSmiIQn0WG9LN-qRLKg",9,3,0
"84","tUeYSmiIQn0WG9LN-qRLKg",5,3,0
"85","tUeYSmiIQn0WG9LN-qRLKg",10,3,0
"86","goMccfETQlUOb9_USl4BUg",36,5,-0.0166666666666667
"87","goMccfETQlUOb9_USl4BUg",15,4,0.142009389360939
"88","9TO5Tl9SeFV-yldR2eZeBg",9,3,0
"89","9TO5Tl9SeFV-yldR2eZeBg",5,3,0.335410196624968
"90","277ETKOLg1XreTWL8hGlHw",18,5,0
"91","_qoXWEB5qb0Me1CCMLWlmg",11,4,0.150755672288882
"92","_qoXWEB5qb0Me1CCMLWlmg",22,4,0.106600358177805
"93","Eg_M8eeu9SDEdbP7iUmVbQ",6,4,-0.204124145231932
"94","Eg_M8eeu9SDEdbP7iUmVbQ",10,4,-0.158113883008419
"95","Eg_M8eeu9SDEdbP7iUmVbQ",14,4,0.133630620956212
"96","Eg_M8eeu9SDEdbP7iUmVbQ",5,5,0.223606797749979
