"","business_id","word_count","stars","sentiment"
"1","lpel3pRFAzlow7u2TJMz4Q",19,5,0.0917662935482247
"2","lpel3pRFAzlow7u2TJMz4Q",10,5,0
"3","lpel3pRFAzlow7u2TJMz4Q",11,5,0.120604537831105
"4","hr0vxeTzlHx6fTpSSmu2AA",8,4,-0.636396103067893
"5","hr0vxeTzlHx6fTpSSmu2AA",14,4,0
"6","hr0vxeTzlHx6fTpSSmu2AA",17,5,0.121267812518166
"7","ZWq8Fq13JPDAqt7rPjSwcQ",65,5,0.0868243142124459
"8","cTPdZ9Va0HCLESf5gNnXwA",21,5,0
"9","cTPdZ9Va0HCLESf5gNnXwA",22,2,-0.447721504346782
"10","cTPdZ9Va0HCLESf5gNnXwA",11,3,-0.0753778361444409
"11","cTPdZ9Va0HCLESf5gNnXwA",23,5,0.260643017571343
"12","cTPdZ9Va0HCLESf5gNnXwA",10,2,0
"13","cTPdZ9Va0HCLESf5gNnXwA",14,4,-0.267261241912424
"14","cTPdZ9Va0HCLESf5gNnXwA",13,4,0.305085107923876
"15","cTPdZ9Va0HCLESf5gNnXwA",16,4,0.125
"16","cTPdZ9Va0HCLESf5gNnXwA",11,4,0.226133508433323
"17","YgHp9MdZ1vVdYyMEro4TtQ",25,1,0
"18","YgHp9MdZ1vVdYyMEro4TtQ",17,1,0.121267812518166
"19","YgHp9MdZ1vVdYyMEro4TtQ",31,1,-0.0866595582279189
"20","jItwkDeMBFquEb7mAvW-Dw",11,2,0.648249390842192
"21","wuyJfCF5gWyz9yrFMaGczQ",16,5,0.0625
"22","wuyJfCF5gWyz9yrFMaGczQ",17,4,0.0242535625036333
"23","wuyJfCF5gWyz9yrFMaGczQ",17,1,0.0242535625036333
"24","bftSQN9eaE5EQBe3ZztN8Q",22,3,-0.0212134712773832
"25","fiRbomFAAtfTYOTTtnDUcA",15,5,0.193649167310371
"26","r2BP0Irh63hqYUDSZd0ijQ",12,5,0.173205080756888
"27","r2BP0Irh63hqYUDSZd0ijQ",28,4,0.330718913883074
"28","qZZ8VU1Bk-xCruEAZNwm6A",9,4,-0.333333333333333
"29","Uda-CqNfow8Gh4rgtdhJZg",8,1,-0.265165042944955
"30","R7eLlAdeIYsxux_Vm0l5sg",10,1,0
"31","R7eLlAdeIYsxux_Vm0l5sg",13,1,0
"32","R7eLlAdeIYsxux_Vm0l5sg",8,1,0
"33","sbm0jmhWui8YrvFgxnJ4kQ",11,4,0
"34","oRKyGtUsN5IcRReN7ScUwQ",30,4,0.319504825211347
"35","oRKyGtUsN5IcRReN7ScUwQ",15,3,0.129099444873581
"36","crBw_Hq3gCkppirgjnIl4A",7,5,0
"37","TQqhfjlPVEz41K_wAogQSQ",10,4,0
"38","JTKzGJvIK9yuoUf-erV2qQ",19,5,0.114707866935281
"39","JTKzGJvIK9yuoUf-erV2qQ",18,4,0.164991582276861
"40","j9Z3c0OVhpv8ZDntMBEsiQ",21,4,0
"41","jW4-bGuymLGlB9OBsTq3TA",16,1,0
"42","jW4-bGuymLGlB9OBsTq3TA",24,4,0.102062072615966
"43","h8MMgum-XUQhU4xWCyQWLQ",8,5,0
"44","h8MMgum-XUQhU4xWCyQWLQ",6,5,0.306186217847897
"45","1-b05KzlioUXxSbl53gcNg",14,4,-0.173719807243076
"46","7cQaxDXTxNu_SywNDsTS5w",30,2,0.10041580220928
"47","mSWNf1muSy9wgGtMRgt7Fg",21,1,-0.174574312188794
"48","mSWNf1muSy9wgGtMRgt7Fg",18,5,0.601040764008565
"49","j4Ms51MtI4arORwaICNfCw",13,5,-0.0693375245281536
"50","j4Ms51MtI4arORwaICNfCw",11,4,0
"51","Piw4Xr1wNyL4lgmwLZ2eTg",19,4,0.183532587096449
"52","Piw4Xr1wNyL4lgmwLZ2eTg",13,4,0
"53","GPRBJhVxvTmRnWEWsI8Myw",13,2,0.166410058867569
"54","GPRBJhVxvTmRnWEWsI8Myw",10,2,0.284604989415154
"55","E_tvJL3lfmCTWAcq2js8Kw",10,4,-0.158113883008419
"56","HjdEgAATE1UgqfxG_0clDQ",15,4,0.193649167310371
"57","HjdEgAATE1UgqfxG_0clDQ",18,3,0.188561808316413
"58","ZL6BK8wweb-8ncJ7kFIG-A",6,5,0
"59","P_PCpidHJQksW2-ufqoz4w",22,3,0.477569604636567
"60","P_PCpidHJQksW2-ufqoz4w",12,3,0
"61","vEP5p3FNPiFhyu-MzjFuHg",22,4,0.0533001790889026
"62","k4Vhhh4h4cNCQmnxWiy79Q",16,4,0.4501
"63","cPNolx5Ae2znDZNA7GG5BQ",10,1,0
"64","cPNolx5Ae2znDZNA7GG5BQ",14,5,-0.0400891862868637
"65","8LtLZER8PiJsD8itophWgA",4,1,0.375
"66","277ETKOLg1XreTWL8hGlHw",7,3,0
"67","277ETKOLg1XreTWL8hGlHw",26,3,-0.0196116135138184
"68","_qoXWEB5qb0Me1CCMLWlmg",20,3,-0.0559016994374947
"69","_qoXWEB5qb0Me1CCMLWlmg",22,3,-0.111930376086695
"70","Eg_M8eeu9SDEdbP7iUmVbQ",30,3,-0.440460223327071
"71","Eg_M8eeu9SDEdbP7iUmVbQ",13,4,-0.208012573584461
"72","Eg_M8eeu9SDEdbP7iUmVbQ",26,4,0.37262065676255
"73","Eg_M8eeu9SDEdbP7iUmVbQ",9,3,0
"74","Eg_M8eeu9SDEdbP7iUmVbQ",6,4,0
"75","Eg_M8eeu9SDEdbP7iUmVbQ",23,4,0
"76","Eg_M8eeu9SDEdbP7iUmVbQ",15,4,0.129099444873581
"77","Eg_M8eeu9SDEdbP7iUmVbQ",22,2,-0.0469041575982343
"78","Eg_M8eeu9SDEdbP7iUmVbQ",12,2,-1.29882159932571
"79","Eg_M8eeu9SDEdbP7iUmVbQ",13,4,0.208012573584461
"80","Eg_M8eeu9SDEdbP7iUmVbQ",22,3,0
"81","Eg_M8eeu9SDEdbP7iUmVbQ",14,3,0.000200445931434318
"82","Eg_M8eeu9SDEdbP7iUmVbQ",3,5,0.433012701892219
"83","Eg_M8eeu9SDEdbP7iUmVbQ",17,2,0.2182820625327
"84","Eg_M8eeu9SDEdbP7iUmVbQ",11,5,0
"85","w4a6TuFWArSc29dB51rPNA",10,4,0.126491106406735
"86","N1AzHZsgdLUKpcc1FMEEQQ",20,5,0.480754615162455
"87","j3IEZP4nQAt7fkxmerLMbA",7,5,0
"88","j3IEZP4nQAt7fkxmerLMbA",7,5,-0.28347335475692
"89","j3IEZP4nQAt7fkxmerLMbA",12,5,0
"90","u8C8pRvaHXg3PgDrsUHJHQ",16,5,0
"91","u8C8pRvaHXg3PgDrsUHJHQ",12,4,0
"92","u8C8pRvaHXg3PgDrsUHJHQ",7,5,0.28347335475692
"93","u8C8pRvaHXg3PgDrsUHJHQ",11,4,0
"94","u8C8pRvaHXg3PgDrsUHJHQ",7,4,0.340168025708305
"95","u8C8pRvaHXg3PgDrsUHJHQ",12,1,0
"96","F56TiSa71Tk4PIQ0HN8oag",47,2,0.0291729982995789
"97","E_IIblD1Vu9YSywrvs4vBw",13,5,0
"98","kd4PwIjtWK2Lx0wUcovo5A",13,2,0
"99","kd4PwIjtWK2Lx0wUcovo5A",27,4,0.288675134594813
"100","kd4PwIjtWK2Lx0wUcovo5A",33,4,0.0522232967867094
"101","kd4PwIjtWK2Lx0wUcovo5A",20,4,0.111803398874989
"102","J4tO07oCDhwP3rdcgjjdxg",11,1,0
"103","TU2oECyx4VhCnzRzGzOlTg",30,3,0
"104","CipRVpM7YzsE-9U9wf2YNQ",12,1,0.0433012701892219
"105","CipRVpM7YzsE-9U9wf2YNQ",9,3,-0.166666666666667
"106","CipRVpM7YzsE-9U9wf2YNQ",12,5,0
"107","CipRVpM7YzsE-9U9wf2YNQ",18,2,0.117851130197758
"108","CipRVpM7YzsE-9U9wf2YNQ",16,1,-0.25
"109","fMdnlYyN5EMhafyE3dGTFQ",6,4,0.32659863237109
"110","b2ZukyGCS7xDlv0ZAlXdYg",34,5,-0.0428746462856272
"111","b2ZukyGCS7xDlv0ZAlXdYg",16,5,0.0625
"112","Xc3Y8_cWBnMVXvoJmGCh4g",12,2,0.360843918243516
"113","yZE8Vwam62qWB5bO0kvp6w",16,3,0
"114","yZE8Vwam62qWB5bO0kvp6w",13,1,-0.468028290565037
"115","2wU2cdWiKegJujTliMJx0w",19,5,0.0917662935482247
"116","2wU2cdWiKegJujTliMJx0w",14,1,0.240535117721182
"117","2wU2cdWiKegJujTliMJx0w",14,1,0
"118","cdLjMoQPRtdWN4g6LW650w",6,5,0.204124145231932
"119","_MW_OR1UgzWoxzbhcOsIHA",5,3,0
"120","_MW_OR1UgzWoxzbhcOsIHA",8,3,0
"121","_MW_OR1UgzWoxzbhcOsIHA",12,3,0
"122","dkJb9ustnZNogY4QDvjaYw",15,1,-0.0258198889747161
"123","r-r-aHrFKEXGcvDoBolWvg",12,1,0
"124","_cySQtzW1NAQLciwjsnXrg",8,4,0.14142135623731
"125","_cySQtzW1NAQLciwjsnXrg",7,2,-0.188982236504614
"126","_cySQtzW1NAQLciwjsnXrg",17,4,0.0970142500145332
"127","_cySQtzW1NAQLciwjsnXrg",12,4,0
"128","_cySQtzW1NAQLciwjsnXrg",11,4,0.226133508433323
"129","_cySQtzW1NAQLciwjsnXrg",18,4,0
"130","lpm1DmC45R4paaP3kiwM5Q",19,1,0
"131","lpm1DmC45R4paaP3kiwM5Q",13,4,0.0277350098112615
"132","W1vydY_gBcNQVsOGlkdtDA",31,5,0.0898026510133875
"133","NN7OUdRxgkoUvpI440UA7A",13,4,0.208012573584461
"134","cKM7-GGHYgXwTG4qjZ8xAg",40,1,0.581859089470982
"135","ftkUQCPM-wFu55Ou-BzFgw",12,2,-0.288675134594813
"136","J5xFCQ74DrFaffZx7_seHg",16,2,0
"137","J5xFCQ74DrFaffZx7_seHg",5,2,0
"138","pqsNkM5pgbio1x-2HQoefw",8,3,0
"139","pqsNkM5pgbio1x-2HQoefw",7,3,0
"140","pqsNkM5pgbio1x-2HQoefw",10,1,0
"141","pqsNkM5pgbio1x-2HQoefw",36,3,0.133333333333333
"142","pqsNkM5pgbio1x-2HQoefw",14,3,0
"143","pqsNkM5pgbio1x-2HQoefw",10,3,0.316227766016838
"144","pqsNkM5pgbio1x-2HQoefw",28,4,0.113389341902768
"145","sMzNLdhJZGzYirIWt-fMAg",13,3,0
"146","sMzNLdhJZGzYirIWt-fMAg",7,3,0
"147","sMzNLdhJZGzYirIWt-fMAg",29,5,0.167218652028435
"148","sMzNLdhJZGzYirIWt-fMAg",16,3,0.25
"149","sMzNLdhJZGzYirIWt-fMAg",16,5,0.05
"150","sMzNLdhJZGzYirIWt-fMAg",26,3,-4.90290337845461e-05
"151","sMzNLdhJZGzYirIWt-fMAg",36,4,0.141666666666667
"152","sMzNLdhJZGzYirIWt-fMAg",154,1,0.00607590514875137
"153","sMzNLdhJZGzYirIWt-fMAg",5,3,0
"154","BcLFIr4wtd3GQ3fnz15yDQ",12,3,0
"155","ROeCBwuy5lfHUo8v0SMwSg",8,2,0
"156","ROeCBwuy5lfHUo8v0SMwSg",23,5,0.187662972651367
"157","ROeCBwuy5lfHUo8v0SMwSg",15,4,0.103279555898864
"158","ROeCBwuy5lfHUo8v0SMwSg",17,5,0.121267812518166
"159","ROeCBwuy5lfHUo8v0SMwSg",10,5,0.316227766016838
"160","MTQot6uazWb2SV3WABa20Q",23,2,-0.0521286035142687
