"","business_id","word_count","stars","sentiment"
"1","J9f-9Prw2YVM-fiZqv2fmQ",27,4,0.144337567297406
"2","J9f-9Prw2YVM-fiZqv2fmQ",24,2,0.214330352493528
"3","lpel3pRFAzlow7u2TJMz4Q",8,4,0.159099025766973
"4","hr0vxeTzlHx6fTpSSmu2AA",38,5,-0.227109989583068
"5","hr0vxeTzlHx6fTpSSmu2AA",14,4,-0.0400891862868637
"6","hr0vxeTzlHx6fTpSSmu2AA",17,5,0.121267812518166
"7","hr0vxeTzlHx6fTpSSmu2AA",20,5,0.167705098312484
"8","hr0vxeTzlHx6fTpSSmu2AA",12,2,0.144337567297406
"9","hr0vxeTzlHx6fTpSSmu2AA",11,2,0
"10","7xHbnGo4MXFkBm6gYSu_xg",163,1,0.310425697841477
"11","7xHbnGo4MXFkBm6gYSu_xg",18,5,0.058925565098879
"12","eU_713ec6fTGNO4BegRaww",35,5,0.202837021134844
"13","eU_713ec6fTGNO4BegRaww",24,4,0.122474487139159
"14","eU_713ec6fTGNO4BegRaww",5,4,0.581377674149945
"15","eU_713ec6fTGNO4BegRaww",11,4,0.226133508433323
"16","ZWq8Fq13JPDAqt7rPjSwcQ",32,4,0.413348107777361
"17","pWJoOfYUWSkro0WNxHspFg",15,5,0.348568501158668
"18","xXZw2v10FbaqRiibXhAhlg",19,4,0.412948320967011
"19","cTPdZ9Va0HCLESf5gNnXwA",32,5,0.265165042944955
"20","cTPdZ9Va0HCLESf5gNnXwA",15,3,0.0387298334620742
"21","cTPdZ9Va0HCLESf5gNnXwA",15,3,0.129099444873581
"22","cTPdZ9Va0HCLESf5gNnXwA",22,5,0
"23","cTPdZ9Va0HCLESf5gNnXwA",28,4,0.330718913883074
"24","NN6HpdvQlGZUVjBwzhgUWQ",12,5,0
"25","NN6HpdvQlGZUVjBwzhgUWQ",22,3,0.20254068053783
"26","NN6HpdvQlGZUVjBwzhgUWQ",11,5,0.339200262649984
"27","NN6HpdvQlGZUVjBwzhgUWQ",18,3,-0.898438091062608
"28","NN6HpdvQlGZUVjBwzhgUWQ",10,4,-0.126491106406735
"29","NN6HpdvQlGZUVjBwzhgUWQ",19,4,0.172061800402921
"30","NN6HpdvQlGZUVjBwzhgUWQ",11,4,0
"31","NN6HpdvQlGZUVjBwzhgUWQ",16,5,0.375
"32","NN6HpdvQlGZUVjBwzhgUWQ",10,4,-0.395284707521047
"33","NN6HpdvQlGZUVjBwzhgUWQ",23,4,0.104257207028537
"34","NN6HpdvQlGZUVjBwzhgUWQ",44,4,0.211057941204435
"35","NN6HpdvQlGZUVjBwzhgUWQ",7,2,0
"36","NN6HpdvQlGZUVjBwzhgUWQ",13,4,0.221880078490092
"37","NN6HpdvQlGZUVjBwzhgUWQ",9,5,0.266666666666667
"38","NN6HpdvQlGZUVjBwzhgUWQ",10,5,0
"39","YgHp9MdZ1vVdYyMEro4TtQ",29,3,-0.167125804359347
"40","YgHp9MdZ1vVdYyMEro4TtQ",12,5,0.21650635094611
"41","YgHp9MdZ1vVdYyMEro4TtQ",15,3,0.4002082791081
"42","YgHp9MdZ1vVdYyMEro4TtQ",18,3,-0.117792204632659
"43","YgHp9MdZ1vVdYyMEro4TtQ",21,5,-0.122747563257746
"44","YgHp9MdZ1vVdYyMEro4TtQ",13,4,0
"45","YgHp9MdZ1vVdYyMEro4TtQ",16,5,0.2875
"46","wuyJfCF5gWyz9yrFMaGczQ",15,5,0
"47","CqCWN9aBJf8YNJxyel7psg",5,4,0
"48","bftSQN9eaE5EQBe3ZztN8Q",16,4,-0.25
"49","bftSQN9eaE5EQBe3ZztN8Q",12,2,0.144337567297406
"50","fiRbomFAAtfTYOTTtnDUcA",31,3,0.0944005467452729
"51","fiRbomFAAtfTYOTTtnDUcA",13,3,0
"52","fiRbomFAAtfTYOTTtnDUcA",14,3,-0.0668153104781061
"53","fiRbomFAAtfTYOTTtnDUcA",13,2,0
"54","fiRbomFAAtfTYOTTtnDUcA",13,1,0
"55","fiRbomFAAtfTYOTTtnDUcA",14,1,-0.280624304008046
"56","r2BP0Irh63hqYUDSZd0ijQ",11,4,0.0753778361444409
"57","r2BP0Irh63hqYUDSZd0ijQ",3,4,0
"58","r2BP0Irh63hqYUDSZd0ijQ",12,2,0
"59","r2BP0Irh63hqYUDSZd0ijQ",27,3,0
"60","r2BP0Irh63hqYUDSZd0ijQ",7,5,0.188982236504614
"61","r2BP0Irh63hqYUDSZd0ijQ",30,5,0.42904933671238
"62","r2BP0Irh63hqYUDSZd0ijQ",19,1,0.0917662935482247
"63","r2BP0Irh63hqYUDSZd0ijQ",9,1,-0.166666666666667
"64","r2BP0Irh63hqYUDSZd0ijQ",20,1,0.167705098312484
"65","r2BP0Irh63hqYUDSZd0ijQ",15,4,0
"66","r2BP0Irh63hqYUDSZd0ijQ",36,2,-0.225
"67","r2BP0Irh63hqYUDSZd0ijQ",47,2,-0.0437594974493684
"68","sbm0jmhWui8YrvFgxnJ4kQ",5,4,0.491934955049954
"69","Q9jOi1245KEyb-vehMUeFA",12,5,-0.0346410161513775
"70","Q9jOi1245KEyb-vehMUeFA",17,5,-0.0606339062590832
"71","Q9jOi1245KEyb-vehMUeFA",20,3,-0.380131556174964
"72","Q9jOi1245KEyb-vehMUeFA",6,3,0.408248290463863
"73","Q9jOi1245KEyb-vehMUeFA",7,3,0
"74","Q9jOi1245KEyb-vehMUeFA",10,3,0
"75","Q9jOi1245KEyb-vehMUeFA",3,3,0.433012701892219
"76","Q9jOi1245KEyb-vehMUeFA",20,3,0.223606797749979
"77","Q9jOi1245KEyb-vehMUeFA",28,3,0.264575131106459
"78","Q9jOi1245KEyb-vehMUeFA",15,3,0.129099444873581
"79","Q9jOi1245KEyb-vehMUeFA",29,3,0
"80","Q9jOi1245KEyb-vehMUeFA",8,3,-0.636396103067893
"81","Q9jOi1245KEyb-vehMUeFA",5,3,0
"82","Q9jOi1245KEyb-vehMUeFA",23,2,-0.041702882811415
"83","Q9jOi1245KEyb-vehMUeFA",16,2,0.1
"84","Q9jOi1245KEyb-vehMUeFA",10,3,-0.316227766016838
"85","Q9jOi1245KEyb-vehMUeFA",15,3,-0.129099444873581
"86","Q9jOi1245KEyb-vehMUeFA",16,1,0.40625
"87","Q9jOi1245KEyb-vehMUeFA",17,1,-0.0363803437554499
"88","TEXUVhF-G_v2Sxwqti8HQA",15,1,0
"89","TEXUVhF-G_v2Sxwqti8HQA",14,1,-0.10690449676497
"90","B7UeQVtXDcH8EXTc8p_M1Q",21,3,0.0763762615825973
"91","B7UeQVtXDcH8EXTc8p_M1Q",21,3,0
"92","B7UeQVtXDcH8EXTc8p_M1Q",12,5,0
"93","B7UeQVtXDcH8EXTc8p_M1Q",42,4,0.0462910049886276
"94","B7UeQVtXDcH8EXTc8p_M1Q",21,3,0
"95","0y6alZmSLnPzmG5_kP5Quw",11,5,-0.256284642891099
"96","lop2cMZ8mml0PqY1epavbA",7,2,0
"97","lop2cMZ8mml0PqY1epavbA",5,2,0.111803398874989
"98","lop2cMZ8mml0PqY1epavbA",12,2,0.144337567297406
"99","lop2cMZ8mml0PqY1epavbA",12,2,-0.0721687836487032
"100","lop2cMZ8mml0PqY1epavbA",8,2,-0.0353553390593274
"101","LpKloJ5DFU1rjEENALnGZg",10,4,0.158113883008419
"102","7-OCdlOQQCHAqYDI_elK6Q",12,4,0.433012701892219
"103","JZ4ZRdRSllhuAt94tFCH8w",17,2,0.2182820625327
"104","BMR_AsSBzTQHqW-SQabI4w",20,5,0.111803398874989
"105","BMR_AsSBzTQHqW-SQabI4w",24,2,-0.0816496580927726
"106","9fH0ow907crGLmPnHFeI0A",13,1,0.166410058867569
"107","QNn3lvwCBwNcQFPbjAtgdQ",10,4,0.237170824512628
"108","QNn3lvwCBwNcQFPbjAtgdQ",7,4,0
"109","QNn3lvwCBwNcQFPbjAtgdQ",10,4,0
"110","ijNQXC2cBhbkf6iB6D8OJw",16,1,0
"111","ijNQXC2cBhbkf6iB6D8OJw",18,3,0.294627825494395
"112","jW4-bGuymLGlB9OBsTq3TA",8,4,0.265165042944955
"113","fhTTP5HRqOzmFw-31Qe7QA",12,4,0
"114","h8MMgum-XUQhU4xWCyQWLQ",5,4,0
"115","h8MMgum-XUQhU4xWCyQWLQ",13,5,0.277350098112615
"116","h8MMgum-XUQhU4xWCyQWLQ",27,2,0.144337567297406
"117","NnOAwa0A2tNPnZl9IHVLPQ",4,4,0.4
"118","NnOAwa0A2tNPnZl9IHVLPQ",18,4,0
"119","yfJcj4qwewXp_QJ7L5WMfw",14,5,0.481070235442364
"120","yfJcj4qwewXp_QJ7L5WMfw",7,3,0
"121","dAa0hB2yrnHzVmsCkN4YvQ",11,5,0
"122","dAa0hB2yrnHzVmsCkN4YvQ",11,5,0.226133508433323
"123","dAa0hB2yrnHzVmsCkN4YvQ",12,5,-0.0721687836487032
"124","dAa0hB2yrnHzVmsCkN4YvQ",5,4,0.357770876399966
"125","dAa0hB2yrnHzVmsCkN4YvQ",27,4,0.0577350269189626
"126","dAa0hB2yrnHzVmsCkN4YvQ",9,4,0
"127","dAa0hB2yrnHzVmsCkN4YvQ",9,2,0
"128","dAa0hB2yrnHzVmsCkN4YvQ",5,1,0.357770876399966
"129","dAa0hB2yrnHzVmsCkN4YvQ",27,1,0.0577350269189626
"130","mSWNf1muSy9wgGtMRgt7Fg",11,5,0.527644853011086
"131","Y4vnA8okdRLoFOKSTWVd2g",16,5,-0.025
"132","goMccfETQlUOb9_USl4BUg",26,1,0.343203236491822
"133","goMccfETQlUOb9_USl4BUg",22,1,0.0426401432711221
"134","goMccfETQlUOb9_USl4BUg",14,1,0.160356745147455
"135","goMccfETQlUOb9_USl4BUg",17,5,0.400183781309949
"136","goMccfETQlUOb9_USl4BUg",14,5,-0.150334448575739
"137","goMccfETQlUOb9_USl4BUg",27,5,0.365655170486763
"138","uLUjru9JVkI_qmFHCxYwAQ",22,2,-0.0426401432711221
"139","Zp2vJfHciG9IiXfmtH5Wdw",32,5,0.274003877709787
"140","Zp2vJfHciG9IiXfmtH5Wdw",15,4,0.0645497224367903
"141","2uOUtyXYDr47V1Ka-ia0Ag",25,1,0.25
"142","mLP-jIIRdoaYM7fJqqFurw",23,5,-0.234578715814209
"143","kDu6EvknXAygJf1KSfwhUA",28,4,-0.106396999152097
"144","zn5G8-rw3AWfe_oH0AX3zw",13,4,0.138675049056307
"145","zn5G8-rw3AWfe_oH0AX3zw",28,4,0.0944911182523068
"146","zn5G8-rw3AWfe_oH0AX3zw",13,5,0
"147","MkzaB1merlsrz92EMGQQkw",20,5,0.0223606797749979
"148","y2lttTrB3kyoEG6kDSONbg",22,3,0.511681719253465
"149","y2lttTrB3kyoEG6kDSONbg",36,3,0.291666666666667
"150","k4Vhhh4h4cNCQmnxWiy79Q",29,5,0.408529743989514
"151","k4Vhhh4h4cNCQmnxWiy79Q",30,5,0.533983850021078
"152","4hxptOMsA-c4XAlFBwl2Ww",21,1,0
"153","4hxptOMsA-c4XAlFBwl2Ww",6,2,0
"154","277ETKOLg1XreTWL8hGlHw",20,5,-0.223606797749979
"155","277ETKOLg1XreTWL8hGlHw",17,5,-0.1455213750218
"156","_qoXWEB5qb0Me1CCMLWlmg",6,3,0
"157","_qoXWEB5qb0Me1CCMLWlmg",17,3,0.375930218806316
"158","_qoXWEB5qb0Me1CCMLWlmg",21,4,-0.370970413401187
"159","_qoXWEB5qb0Me1CCMLWlmg",34,5,-0.330134776399329
"160","_qoXWEB5qb0Me1CCMLWlmg",49,4,0.176785714285714
"161","_qoXWEB5qb0Me1CCMLWlmg",11,4,0.150755672288882
"162","_qoXWEB5qb0Me1CCMLWlmg",15,4,0.193649167310371
"163","_qoXWEB5qb0Me1CCMLWlmg",7,5,0.302371578407382
"164","tKWoQENTGxhYCJSbY4ZLsQ",14,4,0
"165","YrFYBMWnRWkRpy9XyMfMRw",11,1,0
"166","YrFYBMWnRWkRpy9XyMfMRw",16,1,0
"167","YrFYBMWnRWkRpy9XyMfMRw",27,1,-0.0962250448649376
"168","YrFYBMWnRWkRpy9XyMfMRw",10,1,0
"169","YrFYBMWnRWkRpy9XyMfMRw",13,1,0
"170","Eg_M8eeu9SDEdbP7iUmVbQ",13,5,0.0970725343394151
"171","Eg_M8eeu9SDEdbP7iUmVbQ",18,5,0.353553390593274
"172","Eg_M8eeu9SDEdbP7iUmVbQ",26,3,0
"173","Eg_M8eeu9SDEdbP7iUmVbQ",15,2,-0.154919333848297
"174","Eg_M8eeu9SDEdbP7iUmVbQ",15,4,0.193649167310371
"175","Eg_M8eeu9SDEdbP7iUmVbQ",9,3,0
"176","Eg_M8eeu9SDEdbP7iUmVbQ",9,3,0.3
"177","Eg_M8eeu9SDEdbP7iUmVbQ",19,3,0.114707866935281
"178","Eg_M8eeu9SDEdbP7iUmVbQ",15,4,0.193649167310371
"179","Eg_M8eeu9SDEdbP7iUmVbQ",8,4,0
"180","w4a6TuFWArSc29dB51rPNA",10,4,-0.0379473319220205
"181","w4a6TuFWArSc29dB51rPNA",30,4,0
"182","w4a6TuFWArSc29dB51rPNA",13,4,0.208012573584461
"183","w4a6TuFWArSc29dB51rPNA",20,3,0.357770876399966
"184","w4a6TuFWArSc29dB51rPNA",18,3,0
"185","w4a6TuFWArSc29dB51rPNA",11,4,0
"186","rZXfYxaXTFxALpbjv7i9Eg",12,5,0.144337567297406
"187","N1AzHZsgdLUKpcc1FMEEQQ",17,5,0.2182820625327
"188","N1AzHZsgdLUKpcc1FMEEQQ",16,4,0.4875
"189","N1AzHZsgdLUKpcc1FMEEQQ",16,3,0
"190","N1AzHZsgdLUKpcc1FMEEQQ",5,3,0
"191","N1AzHZsgdLUKpcc1FMEEQQ",17,3,-0.327301825986531
"192","N1AzHZsgdLUKpcc1FMEEQQ",3,3,-0.144337567297406
"193","N1AzHZsgdLUKpcc1FMEEQQ",16,5,0.3375
"194","N1AzHZsgdLUKpcc1FMEEQQ",5,5,0
"195","N1AzHZsgdLUKpcc1FMEEQQ",5,5,0
"196","N1AzHZsgdLUKpcc1FMEEQQ",12,1,0.115470053837925
"197","N1AzHZsgdLUKpcc1FMEEQQ",15,4,0
"198","N1AzHZsgdLUKpcc1FMEEQQ",11,4,0
"199","N1AzHZsgdLUKpcc1FMEEQQ",12,4,0
"200","N1AzHZsgdLUKpcc1FMEEQQ",15,4,-0.361284796478715
"201","N1AzHZsgdLUKpcc1FMEEQQ",14,4,-0.166971460884787
"202","N1AzHZsgdLUKpcc1FMEEQQ",11,4,0.508649638302687
"203","N1AzHZsgdLUKpcc1FMEEQQ",9,5,0.416666666666667
"204","zUE7mWTE5Ee8adPD1eWbUg",39,5,0.416333199893227
"205","zUE7mWTE5Ee8adPD1eWbUg",14,5,0.10690449676497
"206","zUE7mWTE5Ee8adPD1eWbUg",5,3,0.626099033699941
"207","u8C8pRvaHXg3PgDrsUHJHQ",15,5,0.444102090365117
"208","u8C8pRvaHXg3PgDrsUHJHQ",12,5,0
"209","F56TiSa71Tk4PIQ0HN8oag",14,4,0.21380899352994
"210","kd4PwIjtWK2Lx0wUcovo5A",37,1,-0.205498734131697
"211","MWYJl-bIxhtQ-4Kg3ENUxA",7,1,0
"212","MWYJl-bIxhtQ-4Kg3ENUxA",14,5,0.307350428199288
"213","MWYJl-bIxhtQ-4Kg3ENUxA",6,2,0
