"","business_id","word_count","stars","sentiment"
"1","eU_713ec6fTGNO4BegRaww",16,5,-0.025
"2","eU_713ec6fTGNO4BegRaww",19,5,0.000172061800402921
"3","eU_713ec6fTGNO4BegRaww",30,4,-0.0182574185835055
"4","eU_713ec6fTGNO4BegRaww",19,2,0
"5","eU_713ec6fTGNO4BegRaww",23,3,0.156385810542806
"6","NN6HpdvQlGZUVjBwzhgUWQ",20,4,0.134164078649987
"7","NN6HpdvQlGZUVjBwzhgUWQ",26,4,0.303980009464185
"8","CqCWN9aBJf8YNJxyel7psg",18,4,-0.14142135623731
"9","CqCWN9aBJf8YNJxyel7psg",7,4,0
"10","CqCWN9aBJf8YNJxyel7psg",16,4,0.1
"11","CqCWN9aBJf8YNJxyel7psg",19,4,-0.000149120227015865
"12","r2BP0Irh63hqYUDSZd0ijQ",21,5,0
"13","r2BP0Irh63hqYUDSZd0ijQ",6,4,0
"14","r2BP0Irh63hqYUDSZd0ijQ",13,2,0
"15","r2BP0Irh63hqYUDSZd0ijQ",7,2,0
"16","r2BP0Irh63hqYUDSZd0ijQ",10,2,0.613481866072666
"17","qZZ8VU1Bk-xCruEAZNwm6A",22,5,0
"18","qZZ8VU1Bk-xCruEAZNwm6A",4,5,0
"19","qZZ8VU1Bk-xCruEAZNwm6A",6,1,-0.306186217847897
"20","qZZ8VU1Bk-xCruEAZNwm6A",16,5,0.25
"21","R7eLlAdeIYsxux_Vm0l5sg",24,5,0
"22","R7eLlAdeIYsxux_Vm0l5sg",22,4,0.0852802865422442
"23","R7eLlAdeIYsxux_Vm0l5sg",7,4,0
"24","R7eLlAdeIYsxux_Vm0l5sg",4,2,0
"25","Q9jOi1245KEyb-vehMUeFA",6,2,0
"26","Q9jOi1245KEyb-vehMUeFA",11,3,0
"27","Q9jOi1245KEyb-vehMUeFA",7,1,0.340168025708305
"28","Q9jOi1245KEyb-vehMUeFA",10,1,0
"29","Q9jOi1245KEyb-vehMUeFA",10,1,0.0474341649025257
"30","Q9jOi1245KEyb-vehMUeFA",9,1,-0.333333333333333
"31","Q9jOi1245KEyb-vehMUeFA",13,2,-0.0693375245281536
"32","Q9jOi1245KEyb-vehMUeFA",19,2,0.0917662935482247
"33","Q9jOi1245KEyb-vehMUeFA",8,4,0
"34","Q9jOi1245KEyb-vehMUeFA",4,4,0
"35","Q9jOi1245KEyb-vehMUeFA",10,1,-0.0790569415042095
"36","Q9jOi1245KEyb-vehMUeFA",43,1,-0.350746711764991
"37","TQqhfjlPVEz41K_wAogQSQ",19,4,0.183704648896852
"38","TQqhfjlPVEz41K_wAogQSQ",7,3,0
"39","TQqhfjlPVEz41K_wAogQSQ",12,2,0.0721687836487032
"40","TQqhfjlPVEz41K_wAogQSQ",26,4,0.343203236491822
"41","lop2cMZ8mml0PqY1epavbA",17,4,-0.18190171877725
"42","stD-LTFFwlmBdzU-0aBntw",29,4,0
"43","stD-LTFFwlmBdzU-0aBntw",22,4,0.021320071635561
"44","czBupdPk4qbW5wlMOEOcWQ",36,4,0.0833333333333333
"45","czBupdPk4qbW5wlMOEOcWQ",4,5,0
"46","czBupdPk4qbW5wlMOEOcWQ",37,4,0.353457822706518
"47","7LzhLKAwS7PHUvaPIW833A",18,5,0
"48","7LzhLKAwS7PHUvaPIW833A",7,5,0
"49","7LzhLKAwS7PHUvaPIW833A",11,3,0
"50","7LzhLKAwS7PHUvaPIW833A",20,3,-0.167705098312484
"51","7LzhLKAwS7PHUvaPIW833A",10,3,0.379473319220205
"52","7LzhLKAwS7PHUvaPIW833A",15,3,0
"53","7LzhLKAwS7PHUvaPIW833A",5,4,0.357770876399966
"54","7LzhLKAwS7PHUvaPIW833A",14,4,-0.267261241912424
"55","7LzhLKAwS7PHUvaPIW833A",2,4,0
"56","JZ4ZRdRSllhuAt94tFCH8w",60,5,0.342113528914988
"57","9fH0ow907crGLmPnHFeI0A",18,4,-0.212132034355964
"58","j9Z3c0OVhpv8ZDntMBEsiQ",4,4,0
"59","j9Z3c0OVhpv8ZDntMBEsiQ",7,4,0
"60","j9Z3c0OVhpv8ZDntMBEsiQ",21,1,0.0545544725589981
"61","j9Z3c0OVhpv8ZDntMBEsiQ",17,2,-0.545705156331749
"62","BeVO7CR25FBOCJoOIJiQvw",9,4,0.416666666666667
"63","BeVO7CR25FBOCJoOIJiQvw",3,4,0.433012701892219
"64","BeVO7CR25FBOCJoOIJiQvw",10,4,0.189736659610103
"65","BeVO7CR25FBOCJoOIJiQvw",6,5,0.510310363079829
"66","jW4-bGuymLGlB9OBsTq3TA",20,3,0
"67","NnOAwa0A2tNPnZl9IHVLPQ",10,3,0.284604989415154
"68","Y4vnA8okdRLoFOKSTWVd2g",7,5,0.377964473009227
"69","Y4vnA8okdRLoFOKSTWVd2g",29,4,-0.0742781352708207
"70","Y4vnA8okdRLoFOKSTWVd2g",11,4,0
"71","Y4vnA8okdRLoFOKSTWVd2g",14,4,0.133630620956212
"72","Y4vnA8okdRLoFOKSTWVd2g",22,5,0.106600358177805
"73","Y4vnA8okdRLoFOKSTWVd2g",13,3,-0.138675049056307
"74","Y4vnA8okdRLoFOKSTWVd2g",6,3,0
"75","Y4vnA8okdRLoFOKSTWVd2g",17,5,0.557831937583566
"76","Y4vnA8okdRLoFOKSTWVd2g",14,2,0.0668153104781061
"77","mLP-jIIRdoaYM7fJqqFurw",7,5,0.28347335475692
"78","kDu6EvknXAygJf1KSfwhUA",19,3,0
"79","kDu6EvknXAygJf1KSfwhUA",18,4,-0.0117851130197758
"80","kDu6EvknXAygJf1KSfwhUA",17,3,0.194028500029066
"81","kdA5JlSuysSCsphCWpoqpg",9,4,0.583333333333333
"82","kdA5JlSuysSCsphCWpoqpg",11,5,0.301511344577764
"83","MkzaB1merlsrz92EMGQQkw",9,1,0.116666666666667
"84","MkzaB1merlsrz92EMGQQkw",9,1,0.116666666666667
"85","ZL6BK8wweb-8ncJ7kFIG-A",8,3,0
"86","ZL6BK8wweb-8ncJ7kFIG-A",21,3,-0.109108945117996
"87","ZL6BK8wweb-8ncJ7kFIG-A",11,3,-0.339426396158417
"88","Iye1RLS53c2uXjxWVjwTwA",6,1,0
"89","papMvgFSTh3hBb8junt7CA",35,4,0.346513244438692
"90","277ETKOLg1XreTWL8hGlHw",26,5,-0.321630461626622
"91","277ETKOLg1XreTWL8hGlHw",6,5,0
"92","277ETKOLg1XreTWL8hGlHw",11,5,0
"93","277ETKOLg1XreTWL8hGlHw",9,5,0
"94","277ETKOLg1XreTWL8hGlHw",18,5,-0.0235702260395516
"95","277ETKOLg1XreTWL8hGlHw",30,5,-0.0912870929175277
"96","277ETKOLg1XreTWL8hGlHw",3,5,0
"97","277ETKOLg1XreTWL8hGlHw",18,5,0.383016173142713
"98","277ETKOLg1XreTWL8hGlHw",40,5,0.237170824512628
"99","277ETKOLg1XreTWL8hGlHw",23,3,-0.125108648434245
"100","277ETKOLg1XreTWL8hGlHw",14,5,0
"101","_qoXWEB5qb0Me1CCMLWlmg",24,4,0.438866912248653
"102","_qoXWEB5qb0Me1CCMLWlmg",9,5,0
"103","ewleimx1N5LR580XGMNnTA",24,3,0
"104","ewleimx1N5LR580XGMNnTA",9,3,0
"105","Eg_M8eeu9SDEdbP7iUmVbQ",14,5,0
"106","Eg_M8eeu9SDEdbP7iUmVbQ",19,5,0.0229415733870562
"107","u8C8pRvaHXg3PgDrsUHJHQ",19,5,0.309711240725258
"108","u8C8pRvaHXg3PgDrsUHJHQ",7,1,0
"109","u8C8pRvaHXg3PgDrsUHJHQ",13,2,0.221880078490092
"110","u8C8pRvaHXg3PgDrsUHJHQ",22,2,0.21320071635561
"111","u8C8pRvaHXg3PgDrsUHJHQ",6,2,0
"112","u8C8pRvaHXg3PgDrsUHJHQ",11,5,-0.301511344577764
"113","MWYJl-bIxhtQ-4Kg3ENUxA",11,1,0.361813613493316
"114","MWYJl-bIxhtQ-4Kg3ENUxA",8,1,0
"115","MWYJl-bIxhtQ-4Kg3ENUxA",10,3,0
"116","MWYJl-bIxhtQ-4Kg3ENUxA",4,5,0.25
"117","MWYJl-bIxhtQ-4Kg3ENUxA",12,5,0.21650635094611
"118","J4tO07oCDhwP3rdcgjjdxg",14,5,0.288642141265418
"119","J4tO07oCDhwP3rdcgjjdxg",9,1,0
"120","J4tO07oCDhwP3rdcgjjdxg",5,1,0.357770876399966
