"","word","count"
"1","pizza",104381
"2","food",39203
"3","time",24122
"4","service",22634
"5","cheese",18641
"6","sauce",18367
"7","crust",15095
"8","nice",13207
"9","delicious",13019
"10","restaurant",12350
"11","love",11740
"12","salad",11591
"13","chicken",11070
"14","menu",10984
"15","bar",10665
"16","fresh",10022
"17","friendly",9847
"18","pizzas",9551
"19","minutes",9390
"20","staff",9384
"21","pretty",9118
"22","wait",8989
"23","night",8905
"24","italian",8843
"25","people",8650
"26","eat",8421
"27","amazing",8243
"28","beer",8073
"29","delivery",8053
"30","2",7917
"31","bread",7800
"32","wings",7222
"33","table",7164
"34","times",7059
"35","toppings",6938
"36","dinner",6919
"37","experience",6917
"38","favorite",6836
"39","bad",6413
"40","lunch",6343
"41","recommend",6310
"42","5",6281
"43","told",6035
"44","bit",5995
"45","pasta",5982
"46","pepperoni",5954
"47","3",5794
"48","excellent",5699
"49","meal",5653
"50","hot",5634
"51","family",5516
"52","taste",5498
"53","quality",5473
"54","atmosphere",5395
"55","day",5371
"56","home",5367
"57","location",5286
"58","half",5258
"59","hour",5219
"60","fries",5199
"61","worth",5189
"62","awesome",5159
"63","server",5134
"64","flavor",5056
"65","perfect",5051
"66","lot",5033
"67","price",5019
"68","called",5013
"69","thin",5005
"70","tasty",4935
"71","drinks",4807
"72","4",4624
"73","slice",4601
"74","pie",4598
"75","10",4556
"76","stars",4481
"77","super",4455
"78","waitress",4446
"79","top",4422
"80","prices",4332
"81","pittsburgh",4300
"82","special",4289
"83","sausage",4230
"84","dish",4173
"85","style",4153
"86","garlic",4152
"87","1",4141
"88","wine",4129
"89","happy",4110
"90","sandwich",4072
"91","cooked",4066
"92","busy",4027
"93","huge",3955
"94","drink",3945
"95","visit",3941
"96","customer",3909
"97","house",3891
"98","selection",3820
"99","disappointed",3804
"100","friends",3794
"101","ingredients",3734
"102","tasted",3710
"103","cold",3674
"104","options",3630
"105","meat",3613
"106","free",3568
"107","eating",3535
"108","feel",3530
"109","call",3516
"110","salads",3516
"111","sweet",3505
"112","manager",3500
"113","enjoyed",3496
"114","decided",3465
"115","tables",3433
"116","town",3381
"117","fantastic",3380
"118","local",3372
"119","slices",3372
"120","decent",3343
"121","oven",3334
"122","business",3306
"123","left",3305
"124","loved",3302
"125","burger",3295
"126","spot",3295
"127","dining",3291
"128","dough",3290
"129","check",3277
"130","review",3274
"131","husband",3252
"132","extra",3238
"133","20",3215
"134","found",3211
"135","fast",3203
"136","wrong",3192
"137","pick",3190
"138","crispy",3160
"139","quick",3157
"140","looked",3082
"141","inside",3078
"142","30",3074
"143","hard",3044
"144","owner",3022
"145","served",3016
"146","phone",3005
"147","couple",2994
"148","red",2973
"149","coming",2946
"150","absolutely",2944
"151","waiting",2932
"152","15",2902
"153","finally",2891
"154","highly",2877
"155","friend",2860
"156","meatballs",2854
"157","enjoy",2840
"158","reviews",2825
"159","stop",2816
"160","arrived",2794
"161","wife",2784
"162","kids",2699
"163","makes",2678
"164","wonderful",2651
"165","6",2638
"166","white",2627
"167","late",2600
"168","amount",2588
"169","star",2581
"170","waited",2577
"171","bacon",2574
"172","cleveland",2555
"173","stopped",2549
"174","beers",2533
"175","dressing",2528
"176","party",2506
"177","size",2474
"178","steak",2468
"179","person",2454
"180","clean",2453
"181","tomato",2449
"182","money",2422
"183","appetizer",2421
"184","ready",2420
"185","average",2418
"186","close",2414
"187","homemade",2376
"188","seated",2371
"189","live",2353
"190","soup",2339
"191","fried",2333
"192","seating",2332
"193","ate",2330
"194","sat",2308
"195","sit",2301
"196","week",2301
"197","restaurants",2285
"198","kitchen",2284
"199","delivered",2271
"200","hours",2268
"201","guy",2265
"202","return",2242
"203","terrible",2235
"204","perfectly",2226
"205","mozzarella",2224
"206","customers",2214
"207","door",2209
"208","street",2179
"209","peppers",2178
"210","madison",2173
"211","fun",2172
"212","rude",2170
"213","cool",2163
"214","buffalo",2160
"215","brought",2159
"216","real",2150
"217","dessert",2143
"218","greasy",2142
"219","care",2132
"220","spicy",2130
"221","attentive",2125
"222","items",2119
"223","parking",2103
"224","warm",2103
"225","extremely",2102
"226","bring",2097
"227","fan",2090
"228","hoagie",2089
"229","deep",2080
"230","8",2063
"231","lots",2052
"232","mushrooms",2045
"233","saturday",2041
"234","regular",2038
"235","fine",2028
"236","list",2022
"237","started",2022
"238","ago",2018
"239","cheap",2018
"240","dishes",2014
"241","pay",2012
"242","bite",2000
"243","deal",1999
"244","reason",1994
"245","online",1985
"246","friday",1980
"247","sandwiches",1965
"248","cut",1961
"249","past",1953
"250","thick",1951
"251","walked",1950
"252","expect",1936
"253","offer",1935
"254","front",1932
"255","worst",1919
"256","evening",1910
"257","store",1907
"258","slow",1876
"259","water",1860
"260","meatball",1841
"261","reasonable",1834
"262","oil",1821
"263","eaten",1818
"264","tonight",1812
"265","line",1808
"266","quickly",1807
"267","shop",1803
"268","light",1787
"269","walk",1782
"270","specials",1762
"271","counter",1749
"272","deliver",1746
"273","plenty",1744
"274","bartender",1729
"275","impressed",1716
"276","priced",1709
"277","game",1707
"278","portions",1704
"279","yelp",1704
"280","heard",1702
"281","sitting",1696
"282","bland",1694
"283","patio",1694
"284","glass",1683
"285","waiter",1674
"286","leave",1669
"287","flavorful",1662
"288","serve",1657
"289","cream",1650
"290","chicago",1645
"291","tomatoes",1644
"292","ranch",1641
"293","gluten",1637
"294","dry",1634
"295","start",1632
"296","7",1627
"297","horrible",1627
"298","simple",1626
"299","topping",1619
"300","unique",1618
"301","joint",1614
"302","45",1598
"303","portion",1598
"304","variety",1598
"305","city",1581
"306","choice",1576
"307","add",1571
"308","received",1570
"309","guys",1569
"310","chain",1563
"311","flavors",1560
"312","space",1545
"313","option",1534
"314","mushroom",1532
"315","entire",1530
"316","wood",1529
"317","onions",1525
"318","soggy",1524
"319","guess",1517
"320","drive",1513
"321","hungry",1510
"322","downtown",1509
"323","tastes",1507
"324","employees",1499
"325","baked",1494
"326","spinach",1492
"327","neighborhood",1491
"328","parmesan",1480
"329","decor",1469
"330","sunday",1468
"331","burgers",1463
"332","expensive",1463
"333","driver",1457
"334","days",1455
"335","recently",1453
"336","appetizers",1452
"337","tip",1450
"338","medium",1446
"339","plate",1443
"340","yummy",1442
"341","stuffed",1439
"342","surprised",1435
"343","completely",1427
"344","meals",1424
"345","burnt",1423
"346","hands",1422
"347","servers",1404
"348","bill",1401
"349","offered",1396
"350","mind",1393
"351","shrimp",1390
"352","choose",1389
"353","authentic",1387
"354","job",1387
"355","expected",1383
"356","glad",1383
"357","solid",1383
"358","box",1382
"359","helpful",1380
"360","12",1374
"361","poor",1372
"362","soft",1368
"363","added",1362
"364","beef",1357
"365","hand",1355
"366","pies",1349
"367","chewy",1347
"368","easy",1341
"369","plain",1335
"370","pepper",1327
"371","run",1327
"372","vegan",1325
"373","calzone",1324
"374","green",1324
"375","split",1324
"376","fish",1323
"377","ice",1321
"378","lettuce",1311
"379","specialty",1311
"380","honestly",1310
"381","marinara",1302
"382","taking",1302
"383","remember",1300
"384","pieces",1298
"385","trip",1296
"386","literally",1293
"387","sticks",1292
"388","cheesy",1289
"389","choices",1287
"390","slightly",1287
"391","type",1282
"392","pleasant",1281
"393","understand",1278
"394","establishment",1276
"395","hit",1276
"396","onion",1270
"397","music",1268
"398","hoagies",1265
"399","life",1263
"400","change",1261
"401","bbq",1259
"402","date",1257
"403","piece",1255
"404","paid",1243
"405","prepared",1240
"406","rest",1239
"407","giving",1235
"408","world",1235
"409","short",1233
"410","cook",1227
"411","boyfriend",1224
"412","spaghetti",1224
"413","hut",1223
"414","basil",1218
"415","italy",1216
"416","loud",1216
"417","packed",1212
"418","breadsticks",1210
"419","crisp",1207
"420","wow",1206
"421","brunch",1204
"422","olive",1204
"423","breakfast",1202
"424","minute",1202
"425","fired",1199
"426","moved",1197
"427","parm",1196
"428","grab",1193
"429","hope",1193
"430","generous",1192
"431","stuff",1190
"432","pork",1182
"433","card",1181
"434","pricey",1179
"435","totally",1179
"436","credit",1178
"437","bottom",1174
"438","charge",1167
"439","mac",1167
"440","outstanding",1167
"441","40",1165
"442","based",1163
"443","frozen",1159
"444","forward",1157
"445","traditional",1154
"446","main",1151
"447","chef",1149
"448","cash",1148
"449","lasagna",1141
"450","due",1140
"451","hostess",1137
"452","disappointing",1127
"453","recommended",1127
"454","awful",1121
"455","entrees",1121
"456","empty",1120
"457","butter",1118
"458","watch",1117
"459","french",1116
"460","chance",1106
"461","weekend",1105
"462","excited",1101
"463","eggplant",1097
"464","girl",1097
"465","birthday",1092
"466","issue",1091
"467","mediocre",1087
"468","9",1085
"469","immediately",1082
"470","casual",1079
"471","including",1078
"472","black",1076
"473","closed",1073
"474","floor",1071
"475","share",1065
"476","takes",1065
"477","veggie",1063
"478","bottle",1061
"479","crowded",1055
"480","simply",1054
"481","grilled",1053
"482","margherita",1049
"483","pesto",1045
"484","visiting",1042
"485","ambiance",1041
"486","salty",1037
"487","middle",1036
"488","miss",1036
"489","personal",1036
"490","tap",1036
"491","picked",1033
"492","owners",1030
"493","standard",1030
"494","gelato",1027
"495","papa",1025
"496","sauces",1022
"497","summer",1020
"498","incredible",1019
"499","set",1019
"500","25",1014
"501","york",1013
"502","roasted",1007
"503","yum",1007
"504","cake",1001
"505","tasting",1001
"506","app",1000
"507","plates",990
"508","rolls",990
"509","basically",989
"510","lived",987
"511","olives",987
"512","potato",984
"513","dine",983
"514","ahead",982
"515","chips",980
"516","beautiful",977
"517","cost",977
"518","months",977
"519","gnocchi",971
"520","ravioli",971
"521","complaint",967
"522","potatoes",965
"523","square",964
"524","walking",961
"525","cozy",960
"526","seat",960
"527","serving",960
"528","shared",960
"529","easily",958
"530","park",958
"531","noticed",954
"532","typical",954
"533","veggies",952
"534","opinion",949
"535","ny",948
"536","forgot",945
"537","management",944
"538","outdoor",942
"539","fairly",940
"540","school",939
"541","gem",937
"542","idea",936
"543","vegetarian",933
"544","changed",932
"545","chocolate",929
"546","overpriced",927
"547","takeout",925
"548","mine",923
"549","stay",923
"550","brick",919
"551","visited",916
"552","mouth",913
"553","talk",910
"554","greeted",907
"555","addition",906
"556","read",904
"557","barely",903
"558","happened",903
"559","carry",902
"560","sign",902
"561","note",901
"562","true",896
"563","buy",895
"564","prefer",895
"565","50",894
"566","min",894
"567","coupon",893
"568","dip",893
"569","filling",893
"570","wedding",890
"571","hold",888
"572","dirty",884
"573","fair",883
"574","mom",883
"575","crunchy",880
"576","multiple",880
"577","ohio",877
"578","write",875
"579","daughter",871
"580","original",870
"581","seasoned",869
"582","building",868
"583","coffee",866
"584","mixed",866
"585","low",864
"586","single",863
"587","die",859
"588","reservation",846
"589","reservations",845
"590","alfredo",843
"591","classic",843
"592","mention",841
"593","finish",838
"594","kid",837
"595","son",836
"596","hear",835
"597","filled",829
"598","college",827
"599","talking",827
"600","perfection",825
"601","ricotta",824
"602","sad",824
"603","vibe",820
"604","head",817
"605","sort",817
"606","11",816
"607","tiny",816
"608","future",815
"609","bowl",813
"610","month",811
"611","total",811
"612","craving",809
"613","entree",809
"614","salt",807
"615","crowd",802
"616","returning",802
"617","weird",802
"618","mix",801
"619","topped",797
"620","finished",792
"621","missing",792
"622","mins",788
"623","sicilian",788
"624","gyro",785
"625","bartenders",783
"626","paying",782
"627","lady",781
"628","rating",781
"629","tender",780
"630","wall",779
"631","chose",774
"632","pan",773
"633","incredibly",771
"634","greens",769
"635","hotel",769
"636","crazy",767
"637","pm",765
"638","treat",764
"639","calamari",763
"640","leftovers",763
"641","level",761
"642","mistake",761
"643","plan",761
"644","desserts",760
"645","arugula",757
"646","website",755
"647","car",751
"648","roll",751
"649","grease",750
"650","consistently",749
"651","limited",749
"652","subs",749
"653","calzones",748
"654","located",746
"655","craft",744
"656","expecting",744
"657","favorites",744
"658","fire",744
"659","strip",744
"660","stick",743
"661","south",742
"662","attitude",741
"663","beat",741
"664","afternoon",739
"665","dipping",739
"666","apparently",737
"667","east",737
"668","item",737
"669","heavy",736
"670","weeks",735
"671","charged",734
"672","pizzeria",732
"673","forget",731
"674","nights",730
"675","prosciutto",730
"676","covered",728
"677","feeling",728
"678","fancy",726
"679","hate",725
"680","cute",723
"681","fabulous",721
"682","owned",721
"683","comfortable",720
"684","supposed",718
"685","checked",717
"686","update",717
"687","lack",716
"688","attention",715
"689","creamy",715
"690","honey",715
"691","seafood",711
"692","stand",711
"693","thinking",711
"694","garden",708
"695","lost",707
"696","save",707
"697","usual",707
"698","correct",705
"699","normal",703
"700","corner",700
"701","salmon",700
"702","draft",699
"703","byob",698
"704","waste",696
"705","accommodating",695
"706","cup",693
"707","woman",691
"708","cocktails",689
"709","texture",689
"710","complain",687
"711","veal",686
"712","arrive",685
"713","touch",684
"714","loaded",683
"715","speak",683
"716","center",682
"717","worse",680
"718","avoid",679
"719","gross",679
"720","means",679
"721","dark",678
"722","notch",678
"723","lemon",676
"724","bites",675
"725","folks",675
"726","shot",675
"727","employee",674
"728","suggest",673
"729","games",671
"730","phenomenal",670
"731","pop",668
"732","similar",668
"733","road",666
"734","event",665
"735","margarita",664
"736","soda",664
"737","basic",661
"738","buffet",661
"739","issues",661
"740","16",659
"741","yeah",659
"742","ian's",658
"743","personally",658
"744","crab",655
"745","kinda",655
"746","spend",654
"747","doughy",653
"748","refund",653
"749","workers",648
"750","nearby",647
"751","matter",645
"752","upstairs",645
"753","cooking",644
"754","included",644
"755","eggs",643
"756","expectations",641
"757","egg",639
"758","pleased",639
"759","forever",635
"760","polite",635
"761","double",634
"762","spent",634
"763","bucks",630
"764","surprise",628
"765","west",628
"766","lovely",625
"767","interior",623
"768","mess",623
"769","blue",622
"770","balls",620
"771","paper",619
"772","word",617
"773","calling",616
"774","conversation",615
"775","hidden",613
